index;year;month;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Важная информация;Чистые активы, RUB;Счета в Банке России, RUB;Коррсчета (НОСТРО), RUB;Ценные бумаги, RUB;Кредиты, RUB;Кредиты организациям, RUB;Кредиты физическим лицам, RUB;Кредиты другим банкам (МБК), RUB;Основные средства, RUB;Учтённые векселя, RUB;Прибыль (убыток) до налогообложения, RUB;Коррсчета (ЛОРО), RUB;Кредиты других банков (МБК), RUB;Средства клиентов, RUB;Средства организаций на расчетных счетах, RUB;Депозиты юридических лиц, RUB;Вклады физических лиц, RUB;Облигации, RUB;Векселя, RUB;Резервы на возможные потери, RUB;Капитал, RUB;Коэффициент покрытия Кредитного портфеля, %;Коэффициент обеспечения Кредитного портфеля, %;Коэффициент просроченной задолженности в Кредитном портфеле, %;Рентабельность активов-нетто (ROA), %;Рентабельность собственного капитала (ROE), %
0;2013;1;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 661 870 000;455 076 000;55 936 000;80 121 000;1 752 808 000;1 182 441 000;531 979 000;550 000;12 172 000;0;20 276 000;0;63 334 000;2 115 523 000;487 130 000;115 688 000;1 509 481 000;0;3 162 000;201 921 000;345 307 000;8,84%;128,17%;2,51%;;
0;2013;2;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 661 870 000;455 076 000;55 936 000;80 121 000;1 752 808 000;1 182 441 000;531 979 000;550 000;12 172 000;0;20 276 000;0;63 334 000;2 115 523 000;487 130 000;115 688 000;1 509 481 000;0;3 162 000;201 921 000;345 307 000;8,84%;128,17%;2,51%;;
0;2013;3;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 661 870 000;455 076 000;55 936 000;80 121 000;1 752 808 000;1 182 441 000;531 979 000;550 000;12 172 000;0;20 276 000;0;63 334 000;2 115 523 000;487 130 000;115 688 000;1 509 481 000;0;3 162 000;201 921 000;345 307 000;8,84%;128,17%;2,51%;;
0;2013;4;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 141 722 000;93 516 000;68 269 000;64 462 000;1 660 469 000;1 192 624 000;391 231 000;50 525 000;12 005 000;5 069 000;5 939 000;0;24 834 000;1 668 166 000;243 238 000;113 644 000;1 302 956 000;0.0;14 065 000;175 885 000;334 539 000;8,10%;140,51%;2,70%;;
0;2013;5;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 195 280 000;76 184 000;61 298 000;67 905 000;1 753 680 000;1 137 501 000;405 798 000;185 531 000;11 871 000;0;5 789 000;0;24 834 000;1 713 133 000;303 567 000;113 674 000;1 292 768 000;0.0;14 215 000;180 429 000;300 517 000;8,78%;143,70%;2,74%;;
0;2013;6;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 264 129 000;86 072 000;66 159 000;68 406 000;1 790 414 000;1 267 196 000;429 111 000;70 549 000;11 782 000;0;9 632 000;0;24 834 000;1 766 574 000;331 646 000;113 703 000;1 317 507 000;0.0;25 719 000;183 058 000;304 244 000;8,08%;132,28%;2,62%;;
0;2013;7;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 218 245 000;64 566 000;75 930 000;45 430 000;1 767 937 000;1 282 561 000;442 776 000;20 553 000;12 343 000;0;11 029 000;0;23 084 000;1 716 108 000;278 478 000;113 734 000;1 321 587 000;0.0;25 801 000;186 454 000;338 241 000;8,12%;132,33%;2,58%;;
0;2013;8;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 371 349 000;100 900 000;85 419 000;28 881 000;1 912 100 000;1 276 049 000;486 457 000;120 559 000;12 263 000;0;11 371 000;0;53 084 000;1 809 407 000;341 888 000;118 764 000;1 346 042 000;0.0;46 137 000;191 594 000;338 647 000;8,16%;131,95%;2,43%;;
0;2013;9;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 328 292 000;92 086 000;82 674 000;29 091 000;1 874 588 000;1 342 631 000;467 071 000;20 543 000;12 268 000;0;11 832 000;0;23 084 000;1 792 354 000;322 026 000;118 794 000;1 349 244 000;0.0;45 731 000;196 733 000;338 884 000;8,25%;150,08%;2,40%;;
0;2013;10;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;42406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 337 285 000;121 464 000;81 860 000;31 262 000;1 806 206 000;1 018 956 000;494 380 000;250 538 000;12 482 000;0;15 337 000;0;21 334 000;1 787 603 000;298 736 000;122 825 000;1 362 750 000;0.0;52 576 000;197 320 000;342 553 000;9,75%;141,31%;2,86%;;
