Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Важная информация;2014 - 2мес., Чистые активы, RUB;2014 - 3мес., Чистые активы, RUB;2014 - 4мес., Чистые активы, RUB;2014 - 5мес., Чистые активы, RUB;2014 - 6мес., Чистые активы, RUB;2014 - 7мес., Чистые активы, RUB;2014 - 8мес., Чистые активы, RUB;2014 - 9мес., Чистые активы, RUB;2014 - 10мес., Чистые активы, RUB;2014 - 11мес., Чистые активы, RUB;2014 - 12мес., Чистые активы, RUB;2015 - 1мес., Чистые активы, RUB;2014 - 2мес., Счета в Банке России, RUB;2014 - 3мес., Счета в Банке России, RUB;2014 - 4мес., Счета в Банке России, RUB;2014 - 5мес., Счета в Банке России, RUB;2014 - 6мес., Счета в Банке России, RUB;2014 - 7мес., Счета в Банке России, RUB;2014 - 8мес., Счета в Банке России, RUB;2014 - 9мес., Счета в Банке России, RUB;2014 - 10мес., Счета в Банке России, RUB;2014 - 11мес., Счета в Банке России, RUB;2014 - 12мес., Счета в Банке России, RUB;2015 - 1мес., Счета в Банке России, RUB;2014 - 2мес., Коррсчета (НОСТРО), RUB;2014 - 3мес., Коррсчета (НОСТРО), RUB;2014 - 4мес., Коррсчета (НОСТРО), RUB;2014 - 5мес., Коррсчета (НОСТРО), RUB;2014 - 6мес., Коррсчета (НОСТРО), RUB;2014 - 7мес., Коррсчета (НОСТРО), RUB;2014 - 8мес., Коррсчета (НОСТРО), RUB;2014 - 9мес., Коррсчета (НОСТРО), RUB;2014 - 10мес., Коррсчета (НОСТРО), RUB;2014 - 11мес., Коррсчета (НОСТРО), RUB;2014 - 12мес., Коррсчета (НОСТРО), RUB;2015 - 1мес., Коррсчета (НОСТРО), RUB;2014 - 2мес., Ценные бумаги, RUB;2014 - 3мес., Ценные бумаги, RUB;2014 - 4мес., Ценные бумаги, RUB;2014 - 5мес., Ценные бумаги, RUB;2014 - 6мес., Ценные бумаги, RUB;2014 - 7мес., Ценные бумаги, RUB;2014 - 8мес., Ценные бумаги, RUB;2014 - 9мес., Ценные бумаги, RUB;2014 - 10мес., Ценные бумаги, RUB;2014 - 11мес., Ценные бумаги, RUB;2014 - 12мес., Ценные бумаги, RUB;2015 - 1мес., Ценные бумаги, RUB;2014 - 2мес., Кредиты, RUB;2014 - 3мес., Кредиты, RUB;2014 - 4мес., Кредиты, RUB;2014 - 5мес., Кредиты, RUB;2014 - 6мес., Кредиты, RUB;2014 - 7мес., Кредиты, RUB;2014 - 8мес., Кредиты, RUB;2014 - 9мес., Кредиты, RUB;2014 - 10мес., Кредиты, RUB;2014 - 11мес., Кредиты, RUB;2014 - 12мес., Кредиты, RUB;2015 - 1мес., Кредиты, RUB;2014 - 2мес., Кредиты организациям, RUB;2014 - 3мес., Кредиты организациям, RUB;2014 - 4мес., Кредиты организациям, RUB;2014 - 5мес., Кредиты организациям, RUB;2014 - 6мес., Кредиты организациям, RUB;2014 - 7мес., Кредиты организациям, RUB;2014 - 8мес., Кредиты организациям, RUB;2014 - 9мес., Кредиты организациям, RUB;2014 - 10мес., Кредиты организациям, RUB;2014 - 11мес., Кредиты организациям, RUB;2014 - 12мес., Кредиты организациям, RUB;2015 - 1мес., Кредиты организациям, RUB;2014 - 2мес., Кредиты физическим лицам, RUB;2014 - 3мес., Кредиты физическим лицам, RUB;2014 - 4мес., Кредиты физическим лицам, RUB;2014 - 5мес., Кредиты физическим лицам, RUB;2014 - 6мес., Кредиты физическим лицам, RUB;2014 - 7мес., Кредиты физическим лицам, RUB;2014 - 8мес., Кредиты физическим лицам, RUB;2014 - 9мес., Кредиты физическим лицам, RUB;2014 - 10мес., Кредиты физическим лицам, RUB;2014 - 11мес., Кредиты физическим лицам, RUB;2014 - 12мес., Кредиты физическим лицам, RUB;2015 - 1мес., Кредиты физическим лицам, RUB;2014 - 2мес., Кредиты другим банкам (МБК), RUB;2014 - 3мес., Кредиты другим банкам (МБК), RUB;2014 - 4мес., Кредиты другим банкам (МБК), RUB;2014 - 5мес., Кредиты другим банкам (МБК), RUB;2014 - 6мес., Кредиты другим банкам (МБК), RUB;2014 - 7мес., Кредиты другим банкам (МБК), RUB;2014 - 8мес., Кредиты другим банкам (МБК), RUB;2014 - 9мес., Кредиты другим банкам (МБК), RUB;2014 - 10мес., Кредиты другим банкам (МБК), RUB;2014 - 11мес., Кредиты другим банкам (МБК), RUB;2014 - 12мес., Кредиты другим банкам (МБК), RUB;2015 - 1мес., Кредиты другим банкам (МБК), RUB;2014 - 2мес., Основные средства, RUB;2014 - 3мес., Основные средства, RUB;2014 - 4мес., Основные средства, RUB;2014 - 5мес., Основные средства, RUB;2014 - 6мес., Основные средства, RUB;2014 - 7мес., Основные средства, RUB;2014 - 8мес., Основные средства, RUB;2014 - 9мес., Основные средства, RUB;2014 - 10мес., Основные средства, RUB;2014 - 11мес., Основные средства, RUB;2014 - 12мес., Основные средства, RUB;2015 - 1мес., Основные средства, RUB;2014 - 2мес., Учтённые векселя, RUB;2014 - 3мес., Учтённые векселя, RUB;2014 - 4мес., Учтённые векселя, RUB;2014 - 5мес., Учтённые векселя, RUB;2014 - 6мес., Учтённые векселя, RUB;2014 - 7мес., Учтённые векселя, RUB;2014 - 8мес., Учтённые векселя, RUB;2014 - 9мес., Учтённые векселя, RUB;2014 - 10мес., Учтённые векселя, RUB;2014 - 11мес., Учтённые векселя, RUB;2014 - 12мес., Учтённые векселя, RUB;2015 - 1мес., Учтённые векселя, RUB
1;ИВАНОВО, АО КБ;1763;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ИВАНОВО""";153002, Ивановская обл, г. Иваново, проспект Ленина, д. 31А;Морковкин Артемий Львович;13.04.1992;27,0;;В состоянии банкротства;042406705;Ивановская область;Непубличные акционерные общества;Совместная частная и иностранная собственность;142 500 000;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (с правом привлечения во вклады денежных средств физических лиц) и на осуществление банковских операций с драгоценными металлами от 05.04.2019;2 520 278 000;2 413 165 000;2 345 346 000;2 420 389 000;2 434 526 000;2 423 334 000;2 503 037 000;2 455 945 000;2 434 637 000;2 510 101 000;2 542 034 000;2 681 237 000;296 796 000;177 669 000;109 200 000;146 461 000;179 834 000;157 111 000;193 021 000;205 841 000;198 772 000;170 347 000;282 439 000;345 320 000;76 016 000;103 241 000;43 596 000;51 082 000;52 170 000;47 181 000;73 555 000;60 179 000;66 801 000;49 880 000;61 598 000;55 694 000;77 716 000;77 892 000;77 499 000;73 405 000;74 974 000;75 680 000;75 393 000;60 350 000;50 003 000;50 936 000;50 976 000;64 744 000;1 741 700 000;1 733 142 000;1 802 211 000;1 840 775 000;1 821 584 000;1 852 593 000;1 846 296 000;1 814 946 000;1 844 877 000;1 945 772 000;1 833 277 000;1 868 927 000;1 137 506 000;1 089 090 000;1 111 515 000;1 154 227 000;1 171 065 000;1 204 348 000;1 161 082 000;1 161 632 000;1 199 255 000;1 284 307 000;1 192 089 000;1 193 760 000;566 099 000;604 252 000;641 290 000;638 338 000;602 771 000;602 057 000;611 562 000;610 450 000;603 004 000;620 474 000;596 974 000;584 186 000;605 000;600 000;600 000;584 000;565 000;600 000;30 620 000;661 000;729 000;829 000;945 000;51 158 000;11 590 000;10 711 000;10 045 000;9 702 000;9 633 000;9 386 000;9 092 000;8 853 000;9 217 000;16 974 000;17 828 000;17 321 000;0;0;0;0;0;0;0;0;0;0;0;0
2;СИРИУС (ООО), СИБИРСКИЙ БАНК;3506;"СИБИРСКИЙ БАНК ""СИРИУС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";644043, Омская обл, г. Омск, ул. Фрунзе, д. 1 корп. 4(Торговый центр «Миллениум»);Осипов Павел Юрьевич;20.02.2012;7,0;;В состоянии банкротства;045209875;Омская область;Общества с ограниченной ответственностью;Частная собственность;200 000 000;Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 23.01.2017;1 867 212 000;2 009 657 000;2 053 039 000;2 102 701 000;2 357 964 000;2 455 985 000;2 589 122 000;2 874 878 000;3 084 591 000;2 814 849 000;3 150 207 000;2 783 708 000;71 243 000;97 598 000;178 106 000;270 587 000;245 085 000;236 314 000;314 604 000;756 298 000;396 861 000;344 707 000;510 005 000;515 336 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 754 478 000;1 875 534 000;1 836 985 000;1 767 404 000;2 048 282 000;2 151 508 000;2 202 314 000;2 048 978 000;2 631 245 000;2 390 464 000;2 587 989 000;2 184 192 000;1 654 478 000;1 795 534 000;1 836 985 000;1 767 404 000;1 968 282 000;1 991 508 000;1 942 277 000;2 048 978 000;2 319 845 000;2 130 464 000;2 087 989 000;1 984 192 000;0;0;0;0;0;0;0;0;0;0;0;0;100 000 000;80 000 000;0;0;80 000 000;160 000 000;260 000 000;0;180 000 000;260 000 000;500 000 000;200 000 000;4 334 000;4 234 000;4 104 000;24 841 000;24 713 000;24 528 000;24 342 000;24 156 000;23 970 000;23 785 000;23 599 000;23 414 000;0;0;0;0;0;0;0;0;0;0;0;0
3;НОВОПОКРОВСКИЙ, ООО КБ;467;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""НОВОПОКРОВСКИЙ""";350059, Краснодарский кр., г. Краснодар, ул. Волжская/ Им. Глинки, д. 47/77;Корнев Анатолий Анатольевич;11.10.1990;28,5;;В состоянии банкротства;040349808;Краснодарский край;Общества с ограниченной ответственностью;Частная собственность;1 000 000 000;Отозвана Генеральная лицензия на осуществление банковских операций от 04.12.2017;8 921 015 000;8 171 721 000;8 015 196 000;7 955 267 000;8 111 507 000;8 018 544 000;8 056 574 000;7 979 040 000;8 261 425 000;8 775 908 000;8 891 465 000;9 171 979 000;668 671 000;260 642 000;300 213 000;368 891 000;461 174 000;199 931 000;431 058 000;324 263 000;613 038 000;1 247 362 000;909 270 000;187 441 000;638 965 000;561 946 000;684 655 000;314 217 000;267 977 000;369 985 000;77 688 000;46 348 000;112 376 000;72 579 000;100 792 000;65 974 000;1 802 854 000;1 817 241 000;1 549 275 000;1 727 322 000;1 969 716 000;2 297 834 000;1 881 128 000;1 769 199 000;1 738 094 000;1 798 624 000;1 927 180 000;2 088 991 000;4 889 510 000;4 572 091 000;4 534 555 000;4 633 000 000;4 376 622 000;4 182 329 000;4 617 762 000;4 771 032 000;4 710 060 000;4 549 310 000;4 490 660 000;4 870 165 000;3 249 484 000;3 604 806 000;3 855 538 000;3 696 068 000;3 423 757 000;3 693 636 000;3 596 539 000;3 469 343 000;3 877 258 000;3 774 533 000;3 915 379 000;4 132 932 000;92 364 000;105 099 000;126 586 000;138 378 000;137 174 000;135 816 000;131 258 000;134 823 000;147 091 000;140 745 000;148 084 000;127 807 000;1 300 721 000;600 714 000;280 714 000;512 179 000;530 827 000;100 715 000;650 739 000;850 788 000;400 868 000;310 986 000;101 125 000;301 379 000;556 934 000;556 996 000;565 604 000;573 481 000;574 359 000;574 541 000;577 409 000;579 853 000;579 310 000;580 533 000;596 010 000;717 803 000;257 206 000;255 808 000;35 225 000;34 301 000;0;118 341 000;0;0;0;0;0;0
4;РУССКИЙ ИПОТЕЧНЫЙ БАНК (ООО), КБ;1968;"КОММЕРЧЕСКИЙ БАНК ""РУССКИЙ ИПОТЕЧНЫЙ БАНК"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";119180, г. Москва, ул. Полянка Б., д. 2 стр. 2(Бизнес-центр );Вечканова Оксана Яковлевна;14.07.1992;26,5;;В состоянии банкротства;044525526;Москва;Общества с ограниченной ответственностью;Частная собственность;795 564 000;Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 23.11.2018;11 914 605 000;11 497 758 000;11 549 079 000;12 145 920 000;11 368 849 000;11 937 871 000;11 729 627 000;12 687 673 000;12 331 756 000;13 335 411 000;14 033 939 000;16 122 772 000;302 899 000;409 145 000;268 357 000;615 441 000;601 878 000;412 734 000;669 806 000;741 447 000;667 684 000;287 601 000;1 356 040 000;414 965 000;1 675 077 000;1 909 335 000;2 114 789 000;1 636 028 000;1 232 336 000;1 947 758 000;1 418 648 000;1 708 717 000;1 287 127 000;1 882 486 000;1 271 502 000;2 322 376 000;516 643 000;656 062 000;441 304 000;647 819 000;599 741 000;608 096 000;446 916 000;408 416 000;499 790 000;394 318 000;412 329 000;483 661 000;8 334 109 000;7 375 268 000;7 580 934 000;8 027 087 000;7 729 057 000;7 903 124 000;8 004 233 000;8 688 874 000;8 650 272 000;9 472 497 000;9 447 308 000;10 468 931 000;5 445 996 000;4 531 223 000;5 400 683 000;5 609 773 000;5 310 565 000;5 476 229 000;5 594 778 000;5 908 555 000;5 795 940 000;6 634 578 000;6 433 874 000;6 416 604 000;2 225 177 000;2 182 798 000;1 919 018 000;1 946 838 000;1 915 019 000;1 896 598 000;1 870 669 000;2 224 031 000;2 271 837 000;2 220 117 000;2 360 238 000;2 518 623 000;260 000 000;260 000 000;260 000 000;260 000 000;260 000 000;271 309 000;274 214 000;276 289 000;277 947 000;280 394 000;275 770 000;1 080 992 000;628 496 000;626 481 000;624 410 000;622 548 000;620 971 000;619 467 000;616 409 000;615 013 000;613 427 000;611 150 000;603 472 000;660 680 000;426 339 000;574 098 000;363 545 000;558 332 000;508 159 000;525 427 000;361 969 000;322 927 000;410 613 000;305 969 000;333 775 000;377 227 000
5;ИНКАРОБАНК (АО), АКБ;2696;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ИНКАРОБАНК"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";125047, г. Москва, ул. Брестская 2-Я, д. 32(Бизнес-центр «Мономах»);Мащев Александр Борисович;15.02.1994;25,0;;В состоянии банкротства;044525124;Москва;Непубличные акционерные общества;Иная смешанная российская собственность;22 002 000;Отозвана Генеральная лицензия на осуществление банковских операций от 31.10.2018, Решение о признании должника банкротом и открытии конкурсного производства от 29.12.2018;2 167 269 000;2 162 620 000;1 849 042 000;1 902 344 000;1 903 227 000;1 837 492 000;1 739 080 000;1 685 994 000;1 634 509 000;1 661 202 000;1 536 328 000;1 485 504 000;86 580 000;74 822 000;90 551 000;44 873 000;81 506 000;110 744 000;89 897 000;59 262 000;22 388 000;51 379 000;62 440 000;24 881 000;353 209 000;316 899 000;86 912 000;196 473 000;197 264 000;186 167 000;22 596 000;21 727 000;37 097 000;29 275 000;57 675 000;63 239 000;580 904 000;577 794 000;576 958 000;582 264 000;527 767 000;521 869 000;488 830 000;489 964 000;485 166 000;448 121 000;413 942 000;417 891 000;1 036 369 000;1 076 625 000;1 008 539 000;995 279 000;1 005 281 000;923 224 000;927 309 000;879 659 000;937 464 000;949 061 000;831 279 000;822 302 000;1 024 345 000;1 064 867 000;995 089 000;981 345 000;992 806 000;906 893 000;905 290 000;857 848 000;916 217 000;928 431 000;817 286 000;807 549 000;12 024 000;11 758 000;13 450 000;13 934 000;12 475 000;16 331 000;22 019 000;21 811 000;21 247 000;20 630 000;13 993 000;14 753 000;0;0;0;0;0;0;0;0;0;0;0;0;6 254 000;5 910 000;5 653 000;5 108 000;4 981 000;4 763 000;4 602 000;4 385 000;4 174 000;3 954 000;3 734 000;3 516 000;0;0;0;0;0;0;0;0;0;0;0;0
6;СТЕЛЛА-БАНК, АО АКБ;2948;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""СТЕЛЛА-БАНК"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";344022, Ростовская обл., г. Ростов-На-Дону, ул. Большая Садовая, д. 188А;Ткачева Ирина Александровна;29.06.1994;24,5;;В состоянии банкротства;046015938;Ростовская область;Непубличные акционерные общества;Частная собственность;240 000 000;Отозвана Лицензия на привлечение во вклады и размещение драгоценных металлов от 14.04.2016;2 262 381 000;2 286 205 000;2 120 211 000;2 165 569 000;2 259 485 000;2 322 097 000;2 264 492 000;2 349 000 000;2 045 226 000;2 519 446 000;2 197 710 000;2 256 592 000;498 952 000;515 049 000;332 224 000;327 916 000;469 558 000;551 690 000;462 239 000;583 522 000;320 181 000;709 257 000;396 773 000;330 190 000;169 160 000;164 058 000;154 706 000;210 963 000;204 525 000;212 596 000;228 799 000;175 190 000;164 396 000;124 207 000;287 632 000;307 195 000;175 435 000;152 420 000;151 790 000;151 771 000;151 978 000;136 121 000;155 338 000;155 382 000;155 340 000;73 310 000;65 816 000;63 079 000;1 270 785 000;1 281 776 000;1 296 197 000;1 279 641 000;1 260 991 000;1 234 536 000;1 199 370 000;1 250 791 000;1 215 757 000;1 240 693 000;1 281 139 000;1 259 503 000;642 662 000;643 244 000;639 222 000;647 346 000;623 270 000;590 009 000;582 906 000;620 679 000;572 408 000;573 432 000;632 622 000;649 708 000;626 104 000;636 515 000;655 057 000;630 637 000;636 071 000;643 014 000;614 937 000;628 558 000;639 692 000;663 447 000;644 530 000;605 520 000;579 000;577 000;578 000;568 000;560 000;1 053 000;1 067 000;1 094 000;3 197 000;3 354 000;3 527 000;3 815 000;34 698 000;34 519 000;49 556 000;49 280 000;49 108 000;48 958 000;48 705 000;48 490 000;48 664 000;49 475 000;49 797 000;49 418 000;0;0;0;0;0;0;0;0;0;0;0;0
7;ФИНАНСОВЫЙ КАПИТАЛ, ООО КБ;3288;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""ФИНАНСОВЫЙ КАПИТАЛ""";190121, г. Санкт-Петербург, ул. Садовая, д. 121 литера А;Морсков Дмитрий Геннадьевич;03.04.1996;23,0;;В состоянии банкротства;044030741;Санкт-Петербург;Общества с ограниченной ответственностью;Частная собственность;214 611 000;Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 25.10.2016;3 802 145 000;3 831 335 000;3 198 261 000;3 031 692 000;2 986 608 000;2 898 443 000;2 950 240 000;3 216 050 000;2 956 396 000;2 846 031 000;2 753 342 000;2 762 854 000;726 341 000;973 853 000;522 769 000;463 881 000;450 765 000;286 356 000;174 179 000;165 954 000;243 420 000;141 934 000;213 627 000;181 625 000;103 196 000;88 671 000;91 069 000;49 555 000;84 641 000;137 815 000;65 387 000;47 456 000;83 955 000;31 030 000;34 321 000;46 397 000;45 290 000;45 361 000;45 429 000;45 500 000;45 567 000;45 638 000;45 709 000;45 777 000;45 847 000;45 915 000;45 981 000;42 059 000;2 047 285 000;1 942 434 000;1 858 303 000;1 715 812 000;1 632 696 000;1 800 285 000;2 060 776 000;2 253 740 000;1 913 080 000;1 939 432 000;1 927 270 000;1 951 774 000;766 547 000;780 388 000;775 166 000;761 418 000;832 904 000;843 459 000;801 924 000;804 464 000;783 765 000;768 629 000;787 215 000;734 043 000;516 882 000;498 775 000;519 847 000;486 895 000;429 076 000;432 405 000;485 325 000;471 570 000;468 541 000;471 120 000;473 411 000;486 208 000;707 750 000;607 165 000;507 184 000;405 639 000;303 870 000;457 228 000;753 761 000;965 214 000;647 619 000;682 447 000;648 259 000;711 040 000;265 468 000;255 692 000;262 639 000;282 199 000;280 260 000;279 384 000;278 713 000;275 794 000;274 882 000;274 049 000;269 182 000;265 903 000;45 078 000;45 149 000;45 217 000;45 288 000;45 355 000;45 426 000;45 497 000;45 565 000;45 635 000;45 703 000;45 769 000;41 847 000
8;МЕЖДУНАРОДНЫЙ РАСЧЕТНЫЙ БАНК, ООО КБ;3028;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""МЕЖДУНАРОДНЫЙ РАСЧЕТНЫЙ БАНК""";129366, г. Москва, ул. Космонавтов, д. 8;Эйбоженко Сергей Алексеевич;04.08.1994;24,5;;В состоянии банкротства;044525223;Москва;Общества с ограниченной ответственностью;Частная собственность;240 192 200;Отозвана Базовая лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) без права на осуществление банковских операций с драгоценными металлами от 28.03.2019;773 437 000;854 214 000;782 226 000;679 702 000;736 544 000;872 391 000;894 404 000;820 532 000;805 018 000;796 937 000;987 454 000;756 182 000;73 129 000;148 003 000;27 607 000;20 228 000;11 337 000;149 549 000;68 208 000;30 535 000;31 397 000;17 937 000;23 990 000;17 278 000;9 639 000;7 389 000;3 109 000;5 811 000;7 569 000;4 849 000;5 107 000;3 680 000;4 782 000;5 467 000;10 454 000;3 462 000;3 626 000;3 472 000;43 125 000;0;54 414 000;0;59 729 000;59 605 000;0;0;176 911 000;0;481 095 000;465 079 000;473 363 000;427 216 000;435 780 000;481 197 000;501 897 000;457 916 000;496 367 000;504 656 000;464 749 000;458 930 000;237 335 000;233 339 000;279 112 000;286 677 000;296 438 000;322 986 000;335 024 000;309 779 000;320 459 000;320 568 000;316 805 000;309 799 000;149 187 000;143 819 000;133 220 000;97 167 000;96 303 000;92 454 000;101 375 000;137 307 000;125 722 000;134 573 000;139 553 000;140 831 000;0;0;0;0;0;50 000 000;50 000 000;0;40 000 000;40 000 000;0;0;9 032 000;5 867 000;5 825 000;2 504 000;2 430 000;2 357 000;2 444 000;5 365 000;5 330 000;8 540 000;8 560 000;8 534 000;0;0;39 796 000;0;54 414 000;0;59 729 000;59 605 000;0;0;176 911 000;0
9;АГРОСОЮЗ, ООО КБ;1459;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""АГРОСОЮЗ""";101000, г. Москва, пер. Уланский, д. 13 стр. 1;Майоров Денис Владимирович;17.05.1991;27,5;;В состоянии банкротства;044525322;Москва;Общества с ограниченной ответственностью;Частная собственность;644 000 000;Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 07.11.2018;7 842 909 000;7 986 156 000;7 583 450 000;7 814 485 000;7 766 180 000;7 830 286 000;8 060 466 000;8 264 293 000;8 466 075 000;8 541 926 000;9 222 069 000;9 648 444 000;381 457 000;103 459 000;120 250 000;206 014 000;213 681 000;104 762 000;217 602 000;194 257 000;170 672 000;202 043 000;275 765 000;194 722 000;676 313 000;1 030 321 000;691 631 000;317 306 000;372 298 000;171 693 000;212 487 000;190 194 000;678 450 000;483 320 000;379 042 000;426 393 000;1 106 571 000;1 099 885 000;1 090 739 000;1 219 143 000;1 301 708 000;1 340 638 000;1 493 794 000;1 463 954 000;1 594 701 000;1 756 604 000;1 949 763 000;2 004 679 000;4 706 588 000;4 699 251 000;4 652 970 000;4 640 096 000;4 772 684 000;4 879 868 000;4 967 956 000;5 249 533 000;4 566 134 000;4 727 292 000;5 061 137 000;5 202 101 000;2 533 830 000;2 584 964 000;2 493 378 000;2 491 808 000;2 593 354 000;2 697 741 000;2 666 606 000;2 660 670 000;2 544 484 000;2 494 506 000;2 436 233 000;2 460 232 000;1 435 660 000;1 472 002 000;1 541 868 000;1 587 609 000;1 634 988 000;1 660 846 000;1 694 744 000;1 735 001 000;1 771 535 000;1 750 409 000;1 883 629 000;1 905 217 000;324 434 000;257 224 000;257 292 000;221 430 000;224 707 000;226 632 000;332 986 000;596 975 000;10 078 000;255 481 000;529 342 000;635 847 000;590 938 000;591 735 000;591 963 000;591 650 000;591 282 000;587 879 000;585 947 000;586 189 000;585 216 000;583 315 000;586 622 000;583 532 000;0;0;0;0;0;0;0;0;0;70 040 000;0;0
10;БТФ, АО КБ;1982;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""БАНК ТОРГОВОГО ФИНАНСИРОВАНИЯ""";109012, г. Москва, ул. Никольская, д. 10(Многофункциональный комплекс «Nikol'skaya Plaza»);Тихонов Вячеслав Анатольевич;02.09.1992;26,5;;В состоянии банкротства;044525279;Москва;Непубличные акционерные общества;Частная собственность;490 000 000;Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 28.09.2018;6 113 831 000;5 924 775 000;5 520 687 000;6 038 920 000;6 165 779 000;6 184 269 000;6 058 116 000;6 117 388 000;6 528 332 000;6 287 422 000;6 755 654 000;7 096 236 000;275 673 000;515 062 000;344 693 000;606 403 000;429 260 000;314 341 000;326 442 000;400 664 000;288 097 000;447 161 000;479 718 000;321 861 000;965 021 000;1 138 955 000;683 062 000;709 270 000;1 093 976 000;1 368 800 000;458 359 000;685 229 000;1 372 322 000;928 876 000;1 354 061 000;1 781 013 000;88 812 000;87 812 000;87 422 000;86 422 000;183 306 000;231 614 000;279 527 000;230 341 000;229 732 000;130 566 000;229 269 000;215 707 000;3 870 942 000;3 210 307 000;3 359 584 000;3 535 408 000;3 442 108 000;3 266 753 000;3 319 718 000;3 414 025 000;3 485 306 000;3 573 262 000;3 591 568 000;3 439 905 000;2 040 190 000;2 042 211 000;1 992 818 000;1 982 891 000;2 021 696 000;2 084 164 000;2 136 323 000;2 652 340 000;2 790 748 000;2 824 680 000;2 695 072 000;2 606 338 000;928 562 000;867 156 000;866 037 000;832 708 000;606 934 000;558 429 000;564 800 000;535 189 000;556 563 000;594 207 000;574 970 000;637 630 000;885 290 000;284 040 000;483 829 000;702 909 000;796 578 000;607 260 000;601 695 000;209 596 000;121 095 000;137 475 000;304 670 000;179 081 000;391 933 000;412 203 000;407 604 000;407 108 000;416 533 000;416 753 000;419 200 000;422 498 000;422 797 000;422 669 000;455 920 000;436 130 000;88 812 000;87 812 000;87 422 000;86 422 000;183 306 000;231 614 000;279 527 000;230 341 000;229 732 000;130 566 000;229 269 000;215 707 000
