Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Статус;Банковский идентификационный номер;2018 - 2мес., Прибыль (убыток) до налогообложения, RUB;2018 - 3мес., Прибыль (убыток) до налогообложения, RUB;2018 - 4мес., Прибыль (убыток) до налогообложения, RUB;2018 - 5мес., Прибыль (убыток) до налогообложения, RUB;2018 - 6мес., Прибыль (убыток) до налогообложения, RUB;2018 - 7мес., Прибыль (убыток) до налогообложения, RUB;2018 - 8мес., Прибыль (убыток) до налогообложения, RUB;2018 - 9мес., Прибыль (убыток) до налогообложения, RUB;2018 - 10мес., Прибыль (убыток) до налогообложения, RUB;2018 - 11мес., Прибыль (убыток) до налогообложения, RUB;2018 - 12мес., Прибыль (убыток) до налогообложения, RUB;2019 - 1мес., Прибыль (убыток) до налогообложения, RUB;2018 - 2мес., Коррсчета (ЛОРО), RUB;2018 - 3мес., Коррсчета (ЛОРО), RUB;2018 - 4мес., Коррсчета (ЛОРО), RUB;2018 - 5мес., Коррсчета (ЛОРО), RUB;2018 - 6мес., Коррсчета (ЛОРО), RUB;2018 - 7мес., Коррсчета (ЛОРО), RUB;2018 - 8мес., Коррсчета (ЛОРО), RUB;2018 - 9мес., Коррсчета (ЛОРО), RUB;2018 - 10мес., Коррсчета (ЛОРО), RUB;2018 - 11мес., Коррсчета (ЛОРО), RUB;2018 - 12мес., Коррсчета (ЛОРО), RUB;2019 - 1мес., Коррсчета (ЛОРО), RUB;2018 - 2мес., Кредиты других банков (МБК), RUB;2018 - 3мес., Кредиты других банков (МБК), RUB;2018 - 4мес., Кредиты других банков (МБК), RUB;2018 - 5мес., Кредиты других банков (МБК), RUB;2018 - 6мес., Кредиты других банков (МБК), RUB;2018 - 7мес., Кредиты других банков (МБК), RUB;2018 - 8мес., Кредиты других банков (МБК), RUB;2018 - 9мес., Кредиты других банков (МБК), RUB;2018 - 10мес., Кредиты других банков (МБК), RUB;2018 - 11мес., Кредиты других банков (МБК), RUB;2018 - 12мес., Кредиты других банков (МБК), RUB;2019 - 1мес., Кредиты других банков (МБК), RUB;2018 - 2мес., Средства клиентов, RUB;2018 - 3мес., Средства клиентов, RUB;2018 - 4мес., Средства клиентов, RUB;2018 - 5мес., Средства клиентов, RUB;2018 - 6мес., Средства клиентов, RUB;2018 - 7мес., Средства клиентов, RUB;2018 - 8мес., Средства клиентов, RUB;2018 - 9мес., Средства клиентов, RUB;2018 - 10мес., Средства клиентов, RUB;2018 - 11мес., Средства клиентов, RUB;2018 - 12мес., Средства клиентов, RUB;2019 - 1мес., Средства клиентов, RUB;2018 - 2мес., Средства организаций на расчетных счетах, RUB;2018 - 3мес., Средства организаций на расчетных счетах, RUB;2018 - 4мес., Средства организаций на расчетных счетах, RUB;2018 - 5мес., Средства организаций на расчетных счетах, RUB;2018 - 6мес., Средства организаций на расчетных счетах, RUB;2018 - 7мес., Средства организаций на расчетных счетах, RUB;2018 - 8мес., Средства организаций на расчетных счетах, RUB;2018 - 9мес., Средства организаций на расчетных счетах, RUB;2018 - 10мес., Средства организаций на расчетных счетах, RUB;2018 - 11мес., Средства организаций на расчетных счетах, RUB;2018 - 12мес., Средства организаций на расчетных счетах, RUB;2019 - 1мес., Средства организаций на расчетных счетах, RUB;2018 - 2мес., Депозиты юридических лиц, RUB;2018 - 3мес., Депозиты юридических лиц, RUB;2018 - 4мес., Депозиты юридических лиц, RUB;2018 - 5мес., Депозиты юридических лиц, RUB;2018 - 6мес., Депозиты юридических лиц, RUB;2018 - 7мес., Депозиты юридических лиц, RUB;2018 - 8мес., Депозиты юридических лиц, RUB;2018 - 9мес., Депозиты юридических лиц, RUB;2018 - 10мес., Депозиты юридических лиц, RUB;2018 - 11мес., Депозиты юридических лиц, RUB;2018 - 12мес., Депозиты юридических лиц, RUB;2019 - 1мес., Депозиты юридических лиц, RUB;2018 - 2мес., Вклады физических лиц, RUB;2018 - 3мес., Вклады физических лиц, RUB;2018 - 4мес., Вклады физических лиц, RUB;2018 - 5мес., Вклады физических лиц, RUB;2018 - 6мес., Вклады физических лиц, RUB;2018 - 7мес., Вклады физических лиц, RUB;2018 - 8мес., Вклады физических лиц, RUB;2018 - 9мес., Вклады физических лиц, RUB;2018 - 10мес., Вклады физических лиц, RUB;2018 - 11мес., Вклады физических лиц, RUB;2018 - 12мес., Вклады физических лиц, RUB;2019 - 1мес., Вклады физических лиц, RUB;2018 - 2мес., Облигации, RUB;2018 - 3мес., Облигации, RUB;2018 - 4мес., Облигации, RUB;2018 - 5мес., Облигации, RUB;2018 - 6мес., Облигации, RUB;2018 - 7мес., Облигации, RUB;2018 - 8мес., Облигации, RUB;2018 - 9мес., Облигации, RUB;2018 - 10мес., Облигации, RUB;2018 - 11мес., Облигации, RUB;2018 - 12мес., Облигации, RUB;2019 - 1мес., Облигации, RUB;2018 - 2мес., Векселя, RUB;2018 - 3мес., Векселя, RUB;2018 - 4мес., Векселя, RUB;2018 - 5мес., Векселя, RUB;2018 - 6мес., Векселя, RUB;2018 - 7мес., Векселя, RUB;2018 - 8мес., Векселя, RUB;2018 - 9мес., Векселя, RUB;2018 - 10мес., Векселя, RUB;2018 - 11мес., Векселя, RUB;2018 - 12мес., Векселя, RUB;2019 - 1мес., Векселя, RUB;2018 - 2мес., Резервы на возможные потери, RUB;2018 - 3мес., Резервы на возможные потери, RUB;2018 - 4мес., Резервы на возможные потери, RUB;2018 - 5мес., Резервы на возможные потери, RUB;2018 - 6мес., Резервы на возможные потери, RUB;2018 - 7мес., Резервы на возможные потери, RUB;2018 - 8мес., Резервы на возможные потери, RUB;2018 - 9мес., Резервы на возможные потери, RUB;2018 - 10мес., Резервы на возможные потери, RUB;2018 - 11мес., Резервы на возможные потери, RUB;2018 - 12мес., Резервы на возможные потери, RUB;2019 - 1мес., Резервы на возможные потери, RUB;2018 - 2мес., Капитал, RUB;2018 - 3мес., Капитал, RUB;2018 - 4мес., Капитал, RUB;2018 - 5мес., Капитал, RUB;2018 - 6мес., Капитал, RUB;2018 - 7мес., Капитал, RUB;2018 - 8мес., Капитал, RUB;2018 - 9мес., Капитал, RUB;2018 - 10мес., Капитал, RUB;2018 - 11мес., Капитал, RUB;2018 - 12мес., Капитал, RUB;2019 - 1мес., Капитал, RUB;2018 - 2мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 3мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 4мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 5мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 6мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 7мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 8мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 9мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 10мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 11мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 12мес., Коэффициент покрытия Кредитного портфеля, %;2019 - 1мес., Коэффициент покрытия Кредитного портфеля, %;2018 - 2мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 3мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 4мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 5мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 6мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 7мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 8мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 9мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 10мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 11мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 12мес., Коэффициент обеспечения Кредитного портфеля, %;2019 - 1мес., Коэффициент обеспечения Кредитного портфеля, %;2018 - 2мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 3мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 4мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 5мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 6мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 7мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 8мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 9мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 10мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 11мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 12мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2019 - 1мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2018 - 2мес., Рентабельность активов-нетто (ROA), %;2018 - 3мес., Рентабельность активов-нетто (ROA), %;2018 - 4мес., Рентабельность активов-нетто (ROA), %;2018 - 5мес., Рентабельность активов-нетто (ROA), %;2018 - 6мес., Рентабельность активов-нетто (ROA), %;2018 - 7мес., Рентабельность активов-нетто (ROA), %;2018 - 8мес., Рентабельность активов-нетто (ROA), %;2018 - 9мес., Рентабельность активов-нетто (ROA), %;2018 - 10мес., Рентабельность активов-нетто (ROA), %;2018 - 11мес., Рентабельность активов-нетто (ROA), %;2018 - 12мес., Рентабельность активов-нетто (ROA), %;2019 - 1мес., Рентабельность активов-нетто (ROA), %;2018 - 2мес., Рентабельность собственного капитала (ROE), %;2018 - 3мес., Рентабельность собственного капитала (ROE), %;2018 - 4мес., Рентабельность собственного капитала (ROE), %;2018 - 5мес., Рентабельность собственного капитала (ROE), %;2018 - 6мес., Рентабельность собственного капитала (ROE), %;2018 - 7мес., Рентабельность собственного капитала (ROE), %;2018 - 8мес., Рентабельность собственного капитала (ROE), %;2018 - 9мес., Рентабельность собственного капитала (ROE), %;2018 - 10мес., Рентабельность собственного капитала (ROE), %;2018 - 11мес., Рентабельность собственного капитала (ROE), %;2018 - 12мес., Рентабельность собственного капитала (ROE), %;2019 - 1мес., Рентабельность собственного капитала (ROE), %
1;ИВАНОВО, АО КБ;В состоянии банкротства;042406705;6 416 000;-190 000;3 209 000;-127 611 000;-125 014 000;-115 086 000;-114 341 000;-107 009 000;-195 828 000;-203 154 000;-212 339 000;3 557 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 623 966 000;2 629 378 000;2 560 093 000;2 560 660 000;2 529 204 000;2 571 338 000;2 618 029 000;2 540 421 000;2 498 760 000;2 428 747 000;2 449 475 000;2 357 319 000;289 609 000;250 161 000;201 572 000;220 880 000;241 071 000;282 765 000;342 879 000;274 785 000;284 833 000;268 584 000;238 080 000;218 371 000;9 000 000;12 800 000;9 100 000;13 662 000;15 062 000;10 262 000;13 062 000;22 262 000;29 962 000;31 662 000;30 562 000;24 462 000;2 323 646 000;2 363 783 000;2 347 142 000;2 324 168 000;2 271 179 000;2 276 688 000;2 260 642 000;2 241 902 000;2 182 833 000;2 127 251 000;2 178 053 000;2 111 811 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60 000 000;0;473 483 000;473 380 000;477 253 000;591 954 000;564 866 000;564 213 000;552 928 000;553 250 000;491 216 000;496 469 000;519 083 000;555 122 000;415 919 000;410 082 000;432 679 000;435 160 000;437 476 000;465 370 000;472 198 000;475 949 000;389 068 000;380 594 000;371 715 000;430 323 000;18,05%;18,35%;18,17%;22,29%;21,19%;21,10%;20,45%;20,40%;18,87%;18,80%;18,92%;20,19%;101,30%;101,74%;98,83%;104,54%;106,29%;105,70%;102,17%;99,36%;102,72%;102,00%;101,68%;99,50%;2,96%;2,53%;2,61%;3,09%;1,96%;2,07%;2,08%;2,11%;1,85%;1,60%;1,27%;1,57%;1,62%;1,63%;1,63%;1,63%;1,46%;1,20%;0,81%;0,15%;-0,54%;-1,25%;-2,05%;-2,74%;13,31%;13,33%;13,34%;13,36%;11,98%;9,80%;6,60%;1,24%;-4,39%;-10,29%;-16,95%;-22,82%
2;СИРИУС (ООО), СИБИРСКИЙ БАНК;В состоянии банкротства;045209875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;НОВОПОКРОВСКИЙ, ООО КБ;В состоянии банкротства;040349808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;РУССКИЙ ИПОТЕЧНЫЙ БАНК (ООО), КБ;В состоянии банкротства;044525526;13 432 000;61 444 000;105 492 000;62 868 000;-28 028 000;-102 676 000;-170 620 000;-199 014 000;-67 801 000;;;;221 000;442 000;445 000;3 526 000;1 279 000;615 000;460 000;47 000;742 000;;;;0;0;0;0;502 960 000;1 038 545 000;499 999 000;499 999 000;800 173 000;;;;11 333 680 000;10 983 695 000;11 142 136 000;11 095 355 000;11 608 521 000;11 065 665 000;11 089 008 000;11 069 539 000;11 224 827 000;;;;1 277 248 000;1 296 461 000;1 411 494 000;1 305 588 000;1 666 731 000;1 334 501 000;1 874 359 000;2 029 990 000;1 929 548 000;;;;974 875 000;946 192 000;948 315 000;1 004 620 000;918 726 000;1 070 796 000;1 002 067 000;751 441 000;813 360 000;;;;9 079 814 000;8 737 037 000;8 780 370 000;8 784 554 000;9 022 056 000;8 659 775 000;8 211 268 000;8 286 587 000;8 476 521 000;;;;0;0;0;0;0;0;0;0;0;;;;6 534 000;0;0;0;0;0;0;0;100 000 000;;;;978 132 000;949 303 000;983 461 000;1 000 655 000;755 581 000;851 727 000;862 913 000;855 132 000;1 239 795 000;;;;2 084 784 000;2 126 147 000;2 189 612 000;2 137 066 000;2 151 583 000;1 968 014 000;1 855 987 000;1 811 283 000;1 923 641 000;;;;10,91%;10,36%;10,56%;11,02%;9,16%;9,69%;9,87%;8,90%;12,84%;;;;96,07%;96,76%;95,56%;83,89%;92,79%;88,02%;83,76%;82,16%;72,59%;;;;2,24%;1,90%;1,96%;2,05%;0,34%;0,31%;0,32%;3,24%;2,66%;;;;0,29%;0,36%;0,39%;0,46%;0,49%;0,51%;0,50%;0,37%;0,15%;;;;1,94%;2,44%;2,64%;3,09%;3,30%;3,48%;3,46%;2,53%;1,04%;;;
5;ИНКАРОБАНК (АО), АКБ;В состоянии банкротства;044525124;8 987 000;-40 439 000;-74 583 000;-268 260 000;-266 492 000;-294 277 000;-343 037 000;-462 344 000;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;;;;;1 823 028 000;2 560 686 000;2 667 004 000;2 672 178 000;2 468 980 000;2 341 381 000;2 106 233 000;1 841 198 000;;;;;98 863 000;87 090 000;92 749 000;94 382 000;43 437 000;35 607 000;42 283 000;38 628 000;;;;;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;125 000 000;;;;;1 599 127 000;2 348 558 000;2 449 217 000;2 452 758 000;2 300 505 000;2 180 736 000;1 938 912 000;1 677 532 000;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;;;;;98 795 000;133 147 000;363 140 000;399 482 000;384 257 000;403 729 000;427 957 000;523 913 000;;;;;599 336 000;548 693 000;510 782 000;502 291 000;504 677 000;486 163 000;515 725 000;539 519 000;;;;;8,11%;7,63%;23,43%;25,30%;25,96%;27,42%;25,84%;24,10%;;;;;133,20%;39,50%;32,72%;27,83%;8,55%;8,65%;8,09%;8,03%;;;;;2,18%;1,13%;0,99%;0,94%;0,97%;0,98%;0,67%;0,67%;;;;;-0,30%;-0,14%;-0,06%;-0,24%;-1,04%;-2,11%;-3,09%;-4,11%;;;;;-0,77%;-0,37%;-0,16%;-0,75%;-3,54%;-7,94%;-12,76%;-18,40%;;;;
6;СТЕЛЛА-БАНК, АО АКБ;В состоянии банкротства;046015938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ФИНАНСОВЫЙ КАПИТАЛ, ООО КБ;В состоянии банкротства;044030741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;МЕЖДУНАРОДНЫЙ РАСЧЕТНЫЙ БАНК, ООО КБ;В состоянии банкротства;044525223;-5 556 000;1 560 000;-6 285 000;-4 670 000;8 640 000;18 971 000;24 574 000;28 641 000;39 420 000;57 354 000;37 249 000;13 465 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;668 732 000;666 987 000;647 022 000;661 429 000;704 976 000;696 668 000;667 001 000;653 309 000;686 201 000;612 286 000;796 068 000;770 152 000;370 060 000;369 381 000;361 561 000;376 169 000;415 219 000;392 638 000;379 632 000;360 457 000;420 694 000;346 019 000;462 597 000;497 599 000;298 534 000;297 486 000;284 363 000;285 122 000;282 194 000;280 842 000;287 246 000;289 242 000;265 384 000;266 141 000;284 142 000;271 170 000;138 000;120 000;120 000;138 000;129 000;129 000;123 000;123 000;123 000;126 000;126 000;132 000;0;0;0;0;0;0;0;0;0;0;0;0;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;5 966 000;131 460 000;126 300 000;138 897 000;138 701 000;125 259 000;115 097 000;116 436 000;117 042 000;110 960 000;103 439 000;123 189 000;120 361 000;479 606 000;491 266 000;466 750 000;467 213 000;458 448 000;474 021 000;494 894 000;496 832 000;525 455 000;539 828 000;520 871 000;533 363 000;21,76%;23,23%;28,55%;29,06%;27,45%;26,42%;29,61%;24,72%;24,84%;25,43%;31,35%;29,46%;240,29%;200,00%;175,68%;177,41%;178,31%;186,39%;190,42%;187,45%;186,51%;179,49%;176,53%;206,52%;7,00%;7,54%;8,13%;8,22%;13,22%;9,77%;11,49%;8,72%;8,25%;10,07%;9,93%;10,84%;-0,35%;-0,38%;-0,42%;-0,49%;-0,57%;-0,38%;-0,10%;0,06%;0,33%;0,69%;1,10%;1,48%;-0,76%;-0,83%;-0,95%;-1,12%;-1,32%;-0,88%;-0,23%;0,14%;0,76%;1,60%;2,51%;3,33%
9;АГРОСОЮЗ, ООО КБ;В состоянии банкротства;044525322;1 986 000;-52 330 000;-167 761 000;-263 562 000;-401 568 000;-400 495 000;-402 935 000;-463 449 000;673 376 000;;;;34 000;33 000;34 000;33 000;32 000;30 000;31 000;24 000;23 000;;;;0;1 423 207 000;0;0;0;0;0;0;0;;;;9 157 984 000;8 846 873 000;8 884 406 000;9 038 000 000;9 152 151 000;9 369 543 000;9 254 525 000;9 219 668 000;14 720 266 000;;;;560 221 000;401 707 000;547 041 000;563 775 000;504 365 000;816 949 000;493 044 000;517 178 000;5 342 816 000;;;;176 354 000;181 676 000;167 915 000;178 315 000;279 819 000;216 292 000;447 805 000;349 893 000;277 033 000;;;;8 416 431 000;8 262 377 000;8 168 490 000;8 295 057 000;8 365 594 000;8 335 010 000;8 312 991 000;8 351 813 000;9 100 066 000;;;;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;;;;640 129 000;711 922 000;841 670 000;868 965 000;1 008 461 000;1 028 991 000;981 409 000;1 048 692 000;289 361 000;;;;1 228 801 000;1 171 365 000;1 086 547 000;1 157 674 000;1 145 368 000;1 175 631 000;1 177 583 000;1 389 688 000;;;;;8,33%;9,62%;10,80%;11,11%;12,42%;13,31%;12,09%;13,05%;30,26%;;;;101,76%;111,44%;110,21%;112,97%;104,01%;114,69%;100,64%;90,56%;151,55%;;;;4,09%;6,30%;5,47%;5,84%;10,41%;9,34%;8,17%;8,07%;33,26%;;;;0,06%;0,06%;0,04%;-0,05%;-0,22%;-0,48%;-0,80%;-1,12%;-1,47%;;;;0,61%;0,60%;0,38%;-0,49%;-2,18%;-4,78%;-7,92%;-11,10%;-14,44%;;;
10;БТФ, АО КБ;В состоянии банкротства;044525279;-9 895 000;-25 952 000;-22 961 000;-35 384 000;-34 668 000;-65 275 000;-57 667 000;;;;;;96 000;113 000;123 000;128 000;127 000;133 000;144 000;;;;;;27 836 000;28 632 000;31 000 000;31 297 000;31 378 000;31 390 000;34 041 000;;;;;;3 326 701 000;3 125 997 000;2 905 585 000;3 230 445 000;3 059 040 000;3 016 170 000;3 112 887 000;;;;;;578 731 000;402 734 000;285 459 000;493 358 000;405 710 000;335 116 000;375 567 000;;;;;;356 625 000;367 132 000;324 443 000;476 895 000;343 044 000;413 621 000;466 254 000;;;;;;2 390 117 000;2 355 232 000;2 294 316 000;2 258 425 000;2 307 248 000;2 265 236 000;2 268 919 000;;;;;;0;0;0;0;0;0;0;;;;;;133 723 000;137 391 000;98 327 000;103 700 000;95 501 000;95 769 000;97 342 000;;;;;;308 278 000;321 144 000;308 961 000;152 047 000;149 715 000;197 028 000;360 433 000;;;;;;680 223 000;656 848 000;697 017 000;682 404 000;685 696 000;675 424 000;719 219 000;;;;;;8,62%;8,53%;8,63%;2,87%;2,80%;4,11%;9,93%;;;;;;141,08%;140,57%;148,54%;149,82%;149,23%;148,54%;145,98%;;;;;;3,96%;3,95%;3,95%;1,37%;3,06%;3,08%;10,42%;;;;;;-3,88%;-3,89%;-3,93%;-3,99%;-4,05%;-3,86%;-3,43%;;;;;;-25,72%;-25,61%;-25,54%;-25,40%;-25,16%;-23,51%;-20,65%;;;;;
