Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Комментарий;Важная информация;2018 - 2мес., Чистые активы, RUB;2018 - 3мес., Чистые активы, RUB;2018 - 4мес., Чистые активы, RUB;2018 - 5мес., Чистые активы, RUB;2018 - 6мес., Чистые активы, RUB;2018 - 7мес., Чистые активы, RUB;2018 - 8мес., Чистые активы, RUB;2018 - 9мес., Чистые активы, RUB;2018 - 10мес., Чистые активы, RUB;2018 - 11мес., Чистые активы, RUB;2018 - 12мес., Чистые активы, RUB;2019 - 1мес., Чистые активы, RUB;2018 - 2мес., Счета в Банке России, RUB;2018 - 3мес., Счета в Банке России, RUB;2018 - 4мес., Счета в Банке России, RUB;2018 - 5мес., Счета в Банке России, RUB;2018 - 6мес., Счета в Банке России, RUB;2018 - 7мес., Счета в Банке России, RUB;2018 - 8мес., Счета в Банке России, RUB;2018 - 9мес., Счета в Банке России, RUB;2018 - 10мес., Счета в Банке России, RUB;2018 - 11мес., Счета в Банке России, RUB;2018 - 12мес., Счета в Банке России, RUB;2019 - 1мес., Счета в Банке России, RUB;2018 - 2мес., Коррсчета (НОСТРО), RUB;2018 - 3мес., Коррсчета (НОСТРО), RUB;2018 - 4мес., Коррсчета (НОСТРО), RUB;2018 - 5мес., Коррсчета (НОСТРО), RUB;2018 - 6мес., Коррсчета (НОСТРО), RUB;2018 - 7мес., Коррсчета (НОСТРО), RUB;2018 - 8мес., Коррсчета (НОСТРО), RUB;2018 - 9мес., Коррсчета (НОСТРО), RUB;2018 - 10мес., Коррсчета (НОСТРО), RUB;2018 - 11мес., Коррсчета (НОСТРО), RUB;2018 - 12мес., Коррсчета (НОСТРО), RUB;2019 - 1мес., Коррсчета (НОСТРО), RUB;2018 - 2мес., Ценные бумаги, RUB;2018 - 3мес., Ценные бумаги, RUB;2018 - 4мес., Ценные бумаги, RUB;2018 - 5мес., Ценные бумаги, RUB;2018 - 6мес., Ценные бумаги, RUB;2018 - 7мес., Ценные бумаги, RUB;2018 - 8мес., Ценные бумаги, RUB;2018 - 9мес., Ценные бумаги, RUB;2018 - 10мес., Ценные бумаги, RUB;2018 - 11мес., Ценные бумаги, RUB;2018 - 12мес., Ценные бумаги, RUB;2019 - 1мес., Ценные бумаги, RUB;2018 - 2мес., Кредиты, RUB;2018 - 3мес., Кредиты, RUB;2018 - 4мес., Кредиты, RUB;2018 - 5мес., Кредиты, RUB;2018 - 6мес., Кредиты, RUB;2018 - 7мес., Кредиты, RUB;2018 - 8мес., Кредиты, RUB;2018 - 9мес., Кредиты, RUB;2018 - 10мес., Кредиты, RUB;2018 - 11мес., Кредиты, RUB;2018 - 12мес., Кредиты, RUB;2019 - 1мес., Кредиты, RUB;2018 - 2мес., Кредиты организациям, RUB;2018 - 3мес., Кредиты организациям, RUB;2018 - 4мес., Кредиты организациям, RUB;2018 - 5мес., Кредиты организациям, RUB;2018 - 6мес., Кредиты организациям, RUB;2018 - 7мес., Кредиты организациям, RUB;2018 - 8мес., Кредиты организациям, RUB;2018 - 9мес., Кредиты организациям, RUB;2018 - 10мес., Кредиты организациям, RUB;2018 - 11мес., Кредиты организациям, RUB;2018 - 12мес., Кредиты организациям, RUB;2019 - 1мес., Кредиты организациям, RUB;2018 - 2мес., Кредиты физическим лицам, RUB;2018 - 3мес., Кредиты физическим лицам, RUB;2018 - 4мес., Кредиты физическим лицам, RUB;2018 - 5мес., Кредиты физическим лицам, RUB;2018 - 6мес., Кредиты физическим лицам, RUB;2018 - 7мес., Кредиты физическим лицам, RUB;2018 - 8мес., Кредиты физическим лицам, RUB;2018 - 9мес., Кредиты физическим лицам, RUB;2018 - 10мес., Кредиты физическим лицам, RUB;2018 - 11мес., Кредиты физическим лицам, RUB;2018 - 12мес., Кредиты физическим лицам, RUB;2019 - 1мес., Кредиты физическим лицам, RUB;2018 - 2мес., Кредиты другим банкам (МБК), RUB;2018 - 3мес., Кредиты другим банкам (МБК), RUB;2018 - 4мес., Кредиты другим банкам (МБК), RUB;2018 - 5мес., Кредиты другим банкам (МБК), RUB;2018 - 6мес., Кредиты другим банкам (МБК), RUB;2018 - 7мес., Кредиты другим банкам (МБК), RUB;2018 - 8мес., Кредиты другим банкам (МБК), RUB;2018 - 9мес., Кредиты другим банкам (МБК), RUB;2018 - 10мес., Кредиты другим банкам (МБК), RUB;2018 - 11мес., Кредиты другим банкам (МБК), RUB;2018 - 12мес., Кредиты другим банкам (МБК), RUB;2019 - 1мес., Кредиты другим банкам (МБК), RUB;2018 - 2мес., Основные средства, RUB;2018 - 3мес., Основные средства, RUB;2018 - 4мес., Основные средства, RUB;2018 - 5мес., Основные средства, RUB;2018 - 6мес., Основные средства, RUB;2018 - 7мес., Основные средства, RUB;2018 - 8мес., Основные средства, RUB;2018 - 9мес., Основные средства, RUB;2018 - 10мес., Основные средства, RUB;2018 - 11мес., Основные средства, RUB;2018 - 12мес., Основные средства, RUB;2019 - 1мес., Основные средства, RUB;2018 - 2мес., Учтённые векселя, RUB;2018 - 3мес., Учтённые векселя, RUB;2018 - 4мес., Учтённые векселя, RUB;2018 - 5мес., Учтённые векселя, RUB;2018 - 6мес., Учтённые векселя, RUB;2018 - 7мес., Учтённые векселя, RUB;2018 - 8мес., Учтённые векселя, RUB;2018 - 9мес., Учтённые векселя, RUB;2018 - 10мес., Учтённые векселя, RUB;2018 - 11мес., Учтённые векселя, RUB;2018 - 12мес., Учтённые векселя, RUB;2019 - 1мес., Учтённые векселя, RUB
1;ГАГАРИНСКИЙ (АО), КБ;606;"КОММЕРЧЕСКИЙ БАНК ""ГАГАРИНСКИЙ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";119361, г. Москва, пер. Очаковский 2-Й, д. 7;Хализев Александр Викторович;26.10.1990;28,0;;Ликвидируется;044525429;Москва;Непубличные акционерные общества;Смешанная российская собственность с долей федеральной собственности;27 605;;Находится в стадии ликвидации от 23.11.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 03.07.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК, ОАО;2523;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК""";426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;05.10.1993;25,5;;Ликвидируется;049401869;Удмуртская Республика;Публичные акционерные общества;Смешанная российская собственность с долей федеральной собственности;100 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 12.07.2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;БАНК СБРР (ООО);1284;СИБИРСКИЙ БАНК РЕКОНСТРУКЦИИ И РАЗВИТИЯ (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ);625003, Тюменская обл., г. Тюмень, ул. Клары Цеткин, д. 61 корп. 1/2;Сергеев Андрей Николаевич;25.12.1990;28,0;;Ликвидируется;047102804;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;1 676 700;;Находится в стадии ликвидации от 07.11.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 06.02.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;СИБЭС (АО), БАНК;208;"БАНК ""СИБЭС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";644007, Омская обл., г. Омск, ул. Рабиновича, д. 132/134 корп. - офис;Кузнецов Евгений Юрьевич;05.10.1998;20,5;;Ликвидируется;045209713;Омская область;Непубличные акционерные общества;Частная собственность;5 935 000;;Находится в стадии ликвидации от 23.10.2018, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 28.04.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;(ОАО УДМУРТИНВЕСТСТРОЙБАНК);2447;АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ УДМУРТСКИЙ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНЫЙ БАНК (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО);426008, Удмуртская респ, г. Ижевск, ул. Пушкинская, д. 268;Столбов Василий Анатольевич;03.08.1993;25,5;;Ликвидируется;049401863;Удмуртская Республика;Публичные акционерные общества;Частная собственность;8 880 000;;Находится в стадии ликвидации от 25.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 20.12.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ТРАНСИНВЕСТБАНК (ООО), КБ;3238;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОММЕРЧЕСКИЙ БАНК ""ТРАНСПОРТНЫЙ ИНВЕСТИЦИОННЫЙ БАНК""";123104, г. Москва, пер. Палашёвский М, д. 5;Баушева Надежда Сергеевна;22.03.1995;24,0;;Ликвидируется;044525212;Москва;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;13 780 455;;Находится в стадии ликвидации от 28.03.2014, Решение о признании должника банкротом и открытии конкурсного производства от 11.11.2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА, ЗАО;3317;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО - НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА""";163000, Архангельская обл., г. Архангельск, проспект Советских Космонавтов, д. 52;Ребгун Елена Зиновьевна;09.02.1993;26,0;;Ликвидируется;041117309;Архангельская область;Непубличные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;15 835 000;;Находится в стадии ликвидации от 23.06.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 22.09.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ИРЦ АО, РНКО;3447;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ИННОВАЦИОННЫЙ РАСЧЕТНЫЙ ЦЕНТР"" АКЦИОНЕРНОЕ ОБЩЕСТВО";121165, г. Москва, ул. Дунаевского, д. 4;Ребгун Эдуард Константинович;19.01.2010;9,0;;Ликвидируется;044525276;Москва;Непубличные акционерные общества;Частная собственность;16 600 000;;Находится в стадии ликвидации от 30.10.2018, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте для расчётных небанковских кредитных организаций от 10.08.2018;42 532 000;70 485 000;36 323 000;60 011 000;69 116 000;28 079 000;;;;;;;7 727 000;3 502 000;1 585 000;4 714 000;14 536 000;3 859 000;;;;;;;33 611 000;65 616 000;33 368 000;49 249 000;48 495 000;18 279 000;;;;;;;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;;;;;;;337 000;486 000;480 000;471 000;463 000;455 000;;;;;;;0;0;0;0;0;0;;;;;;
9;МБР-БАНК, АО КБ;2620;"КОММЕРЧЕСКИЙ БАНК ""МЕЖРЕГИОНАЛЬНЫЙ БАНК РЕКОНСТРУКЦИИ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";115184, г. Москва, ул. Ордынка Б, д. 59 корп. 2;Баушева Надежда Сергеевна;21.12.1993;25,0;;Ликвидируется;044525169;Москва;Непубличные акционерные общества;Частная собственность;17 455 000;;Находится в стадии ликвидации от 11.10.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 17.06.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;РЦ ЭНЕРГОБИЗНЕС (ООО), РНКО;3485;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ ЦЕНТР ""ЭНЕРГОБИЗНЕС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105120, г. Москва, пер. Сыромятнический 3-Й, д. 3/9 корп. 1;Мащев Александр Борисович;24.06.2008;10,5;;Ликвидируется;044525252;Москва;Общества с ограниченной ответственностью;Частная собственность;18 000 000;;Находится в стадии ликвидации от 09.12.2016, Решение о признании должника банкротом и открытии конкурсного производства от 22.10.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
