Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Важная информация;2013 - 2мес., Чистые активы, RUB;2013 - 3мес., Чистые активы, RUB;2013 - 4мес., Чистые активы, RUB;2013 - 5мес., Чистые активы, RUB;2013 - 6мес., Чистые активы, RUB;2013 - 7мес., Чистые активы, RUB;2013 - 8мес., Чистые активы, RUB;2013 - 9мес., Чистые активы, RUB;2013 - 10мес., Чистые активы, RUB;2013 - 11мес., Чистые активы, RUB;2013 - 12мес., Чистые активы, RUB;2014 - 1мес., Чистые активы, RUB;2013 - 2мес., Счета в Банке России, RUB;2013 - 3мес., Счета в Банке России, RUB;2013 - 4мес., Счета в Банке России, RUB;2013 - 5мес., Счета в Банке России, RUB;2013 - 6мес., Счета в Банке России, RUB;2013 - 7мес., Счета в Банке России, RUB;2013 - 8мес., Счета в Банке России, RUB;2013 - 9мес., Счета в Банке России, RUB;2013 - 10мес., Счета в Банке России, RUB;2013 - 11мес., Счета в Банке России, RUB;2013 - 12мес., Счета в Банке России, RUB;2014 - 1мес., Счета в Банке России, RUB;2013 - 2мес., Коррсчета (НОСТРО), RUB;2013 - 3мес., Коррсчета (НОСТРО), RUB;2013 - 4мес., Коррсчета (НОСТРО), RUB;2013 - 5мес., Коррсчета (НОСТРО), RUB;2013 - 6мес., Коррсчета (НОСТРО), RUB;2013 - 7мес., Коррсчета (НОСТРО), RUB;2013 - 8мес., Коррсчета (НОСТРО), RUB;2013 - 9мес., Коррсчета (НОСТРО), RUB;2013 - 10мес., Коррсчета (НОСТРО), RUB;2013 - 11мес., Коррсчета (НОСТРО), RUB;2013 - 12мес., Коррсчета (НОСТРО), RUB;2014 - 1мес., Коррсчета (НОСТРО), RUB;2013 - 2мес., Ценные бумаги, RUB;2013 - 3мес., Ценные бумаги, RUB;2013 - 4мес., Ценные бумаги, RUB;2013 - 5мес., Ценные бумаги, RUB;2013 - 6мес., Ценные бумаги, RUB;2013 - 7мес., Ценные бумаги, RUB;2013 - 8мес., Ценные бумаги, RUB;2013 - 9мес., Ценные бумаги, RUB;2013 - 10мес., Ценные бумаги, RUB;2013 - 11мес., Ценные бумаги, RUB;2013 - 12мес., Ценные бумаги, RUB;2014 - 1мес., Ценные бумаги, RUB;2013 - 2мес., Кредиты, RUB;2013 - 3мес., Кредиты, RUB;2013 - 4мес., Кредиты, RUB;2013 - 5мес., Кредиты, RUB;2013 - 6мес., Кредиты, RUB;2013 - 7мес., Кредиты, RUB;2013 - 8мес., Кредиты, RUB;2013 - 9мес., Кредиты, RUB;2013 - 10мес., Кредиты, RUB;2013 - 11мес., Кредиты, RUB;2013 - 12мес., Кредиты, RUB;2014 - 1мес., Кредиты, RUB;2013 - 2мес., Кредиты организациям, RUB;2013 - 3мес., Кредиты организациям, RUB;2013 - 4мес., Кредиты организациям, RUB;2013 - 5мес., Кредиты организациям, RUB;2013 - 6мес., Кредиты организациям, RUB;2013 - 7мес., Кредиты организациям, RUB;2013 - 8мес., Кредиты организациям, RUB;2013 - 9мес., Кредиты организациям, RUB;2013 - 10мес., Кредиты организациям, RUB;2013 - 11мес., Кредиты организациям, RUB;2013 - 12мес., Кредиты организациям, RUB;2014 - 1мес., Кредиты организациям, RUB;2013 - 2мес., Кредиты физическим лицам, RUB;2013 - 3мес., Кредиты физическим лицам, RUB;2013 - 4мес., Кредиты физическим лицам, RUB;2013 - 5мес., Кредиты физическим лицам, RUB;2013 - 6мес., Кредиты физическим лицам, RUB;2013 - 7мес., Кредиты физическим лицам, RUB;2013 - 8мес., Кредиты физическим лицам, RUB;2013 - 9мес., Кредиты физическим лицам, RUB;2013 - 10мес., Кредиты физическим лицам, RUB;2013 - 11мес., Кредиты физическим лицам, RUB;2013 - 12мес., Кредиты физическим лицам, RUB;2014 - 1мес., Кредиты физическим лицам, RUB;2013 - 2мес., Кредиты другим банкам (МБК), RUB;2013 - 3мес., Кредиты другим банкам (МБК), RUB;2013 - 4мес., Кредиты другим банкам (МБК), RUB;2013 - 5мес., Кредиты другим банкам (МБК), RUB;2013 - 6мес., Кредиты другим банкам (МБК), RUB;2013 - 7мес., Кредиты другим банкам (МБК), RUB;2013 - 8мес., Кредиты другим банкам (МБК), RUB;2013 - 9мес., Кредиты другим банкам (МБК), RUB;2013 - 10мес., Кредиты другим банкам (МБК), RUB;2013 - 11мес., Кредиты другим банкам (МБК), RUB;2013 - 12мес., Кредиты другим банкам (МБК), RUB;2014 - 1мес., Кредиты другим банкам (МБК), RUB;2013 - 2мес., Основные средства, RUB;2013 - 3мес., Основные средства, RUB;2013 - 4мес., Основные средства, RUB;2013 - 5мес., Основные средства, RUB;2013 - 6мес., Основные средства, RUB;2013 - 7мес., Основные средства, RUB;2013 - 8мес., Основные средства, RUB;2013 - 9мес., Основные средства, RUB;2013 - 10мес., Основные средства, RUB;2013 - 11мес., Основные средства, RUB;2013 - 12мес., Основные средства, RUB;2014 - 1мес., Основные средства, RUB;2013 - 2мес., Учтённые векселя, RUB;2013 - 3мес., Учтённые векселя, RUB;2013 - 4мес., Учтённые векселя, RUB;2013 - 5мес., Учтённые векселя, RUB;2013 - 6мес., Учтённые векселя, RUB;2013 - 7мес., Учтённые векселя, RUB;2013 - 8мес., Учтённые векселя, RUB;2013 - 9мес., Учтённые векселя, RUB;2013 - 10мес., Учтённые векселя, RUB;2013 - 11мес., Учтённые векселя, RUB;2013 - 12мес., Учтённые векселя, RUB;2014 - 1мес., Учтённые векселя, RUB
1;СИБКОНТАКТ, ОАО КБ;1915;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""СИБКОНТАКТ""";628181, Ханты-Мансийский Автономный Округ - Югра окр, г. Нягань, микрорайон 2, д. 32;Пастушенко Дмитрий Сергеевич;17.06.1992;26,5;26.12.2017;Недействующая;;Тюменская область;Публичные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;600 000 000;Ликвидировано вследствие банкротства от 26.12.2017, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 20.11.2008, Решение о признании должника банкротом и открытии конкурсного производства от 12.01.2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;МОСКОВСКИЙ КАПИТАЛ (ООО), КБ;3044;"КОММЕРЧЕСКИЙ БАНК ""МОСКОВСКИЙ КАПИТАЛ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105318, г. Москва, ул. Ткацкая, д. 15 корп. 1;Бельков Андрей Олегович;10.08.1994;24,5;05.07.2017;Недействующая;044545150;Москва;Общества с ограниченной ответственностью;Частная собственность;1 415 000 000;Ликвидировано вследствие банкротства от 05.07.2017, Отозвана Генеральная лицензия на осуществление банковских операций от 02.02.2009, Решение о признании должника банкротом и открытии конкурсного производства от 30.04.2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;РАДИАН (ОАО), АКБ;1675;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""РАДИАН"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";664047, Иркутская обл, г. Иркутск, ул. Советская, д. 3;Кузнецов Евгений Юрьевич;20.12.1991;27,0;03.07.2017;Недействующая;042520827;Иркутская область;Публичные акционерные общества;Иная смешанная российская собственность;130 000 000;Ликвидировано по решению суда от 03.07.2017, Решение о признании должника банкротом и открытии конкурсного производства от 09.07.2014;1 375 432 000;1 244 980 000;1 311 796 000;1 292 521 000;1 467 017 000;1 515 846 000;1 540 334 000;1 641 759 000;1 509 248 000;1 406 639 000;1 172 061 000;1 121 830 000;305 513 000;163 227 000;233 407 000;203 217 000;321 104 000;336 680 000;335 315 000;358 997 000;293 220 000;174 660 000;210 871 000;161 622 000;40 966 000;46 168 000;41 038 000;52 719 000;51 507 000;49 055 000;59 664 000;47 611 000;47 395 000;61 232 000;35 379 000;26 183 000;45 356 000;45 671 000;45 976 000;51 423 000;46 597 000;16 915 000;0;0;0;20 046 000;0;0;726 482 000;742 821 000;753 757 000;772 374 000;830 370 000;902 316 000;876 232 000;903 221 000;908 338 000;811 848 000;696 895 000;701 172 000;257 007 000;299 218 000;342 409 000;331 652 000;436 981 000;487 968 000;417 039 000;405 496 000;390 086 000;409 161 000;304 784 000;287 020 000;310 946 000;299 006 000;308 826 000;328 250 000;368 551 000;382 483 000;410 600 000;399 176 000;385 716 000;386 097 000;369 543 000;354 134 000;158 529 000;144 597 000;102 522 000;112 472 000;24 838 000;31 865 000;48 593 000;96 549 000;131 536 000;16 590 000;16 568 000;52 118 000;87 639 000;87 568 000;87 759 000;87 706 000;87 337 000;87 039 000;83 903 000;84 015 000;82 527 000;82 105 000;79 808 000;79 395 000;45 356 000;45 671 000;45 976 000;51 423 000;46 597 000;16 915 000;0;0;0;20 046 000;0;0
4;БИНБАНК СТОЛИЦА, АО;3052;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИНБАНК СТОЛИЦА""";127051, г. Москва, пл. Сухаревская М, д. 12(Торгово-офисный центр «Садовая галерея»);Юрин Дмитрий Александрович;18.08.1995;23,5;24.03.2017;Недействующая;044525669;Москва;Непубличные акционерные общества;Частная собственность;515 000 000;Прекратило деятельность при присоединении от 24.03.2017, Сообщения о принятии решения о реорганизации от 07.10.2016;1 490 980 000;1 726 752 000;2 056 075 000;2 371 649 000;2 689 303 000;3 106 489 000;3 512 453 000;4 475 035 000;4 605 658 000;4 847 609 000;5 488 449 000;5 746 227 000;9 888 000;648 000;21 551 000;27 827 000;43 200 000;54 042 000;62 184 000;78 052 000;75 361 000;74 273 000;81 397 000;70 860 000;15 433 000;15 207 000;15 421 000;15 023 000;15 785 000;15 852 000;9 168 000;9 964 000;28 862 000;58 403 000;140 059 000;78 012 000;0;0;0;0;0;0;0;0;0;0;0;0;1 342 079 000;1 584 645 000;1 891 487 000;2 199 756 000;2 495 012 000;2 893 090 000;3 282 082 000;4 215 445 000;4 294 305 000;4 492 111 000;5 032 860 000;5 352 511 000;0;0;0;0;0;0;0;850 000;831 000;812 000;793 000;774 000;1 291 076 000;1 561 642 000;1 891 484 000;2 199 753 000;2 495 009 000;2 893 087 000;3 282 079 000;3 674 592 000;4 093 471 000;4 466 296 000;5 032 064 000;5 281 734 000;51 000 000;23 000 000;0;0;0;0;0;540 000 000;200 000 000;25 000 000;0;70 000 000;27 655 000;27 737 000;27 095 000;26 412 000;25 954 000;27 407 000;30 728 000;30 068 000;29 407 000;28 391 000;27 839 000;27 183 000;0;0;0;0;0;0;0;0;0;0;0;0
5;ЗЕЛЕНОКУМСКАЯ АО, НКО;1239;"НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ЗЕЛЕНОКУМСКАЯ"" АКЦИОНЕРНОЕ ОБЩЕСТВО";357910, Ставропольский кр, Советский район, г. Зеленокумск, ул. Учительская, д. 3;Лоза Александр Иванович;20.12.1990;28,0;19.04.2017;Недействующая;040717713;Ставропольский край;Публичные акционерные общества;Частная собственность;90 000 000;Ликвидировано от 19.04.2017, Отозвана Лицензия на осуществление банковских операций со средствами в рублях (без права привлечения во вклады денежных средств физических лиц) от 03.08.2015;116 630 000;117 495 000;115 380 000;115 990 000;116 272 000;116 697 000;117 024 000;117 922 000;118 115 000;118 781 000;118 793 000;118 836 000;23 215 000;37 162 000;6 886 000;11 692 000;10 066 000;17 307 000;3 490 000;6 145 000;12 183 000;19 248 000;31 961 000;35 072 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90 930 000;77 355 000;106 028 000;101 908 000;103 351 000;95 861 000;109 578 000;108 562 000;102 804 000;97 122 000;84 311 000;81 445 000;74 232 000;60 309 000;88 453 000;84 515 000;85 792 000;78 946 000;91 856 000;91 023 000;85 554 000;80 974 000;69 084 000;67 093 000;16 698 000;17 046 000;17 575 000;17 393 000;17 559 000;16 915 000;17 722 000;17 539 000;17 250 000;16 148 000;15 227 000;14 352 000;0;0;0;0;0;0;0;0;0;0;0;0;1 260 000;1 222 000;1 186 000;1 154 000;1 128 000;1 113 000;1 085 000;1 059 000;1 193 000;1 010 000;986 000;959 000;0;0;0;0;0;0;0;0;0;0;0;0
6;РБЦ (ООО), РНКО;3487;"РАСЧЕТНАЯ НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""РАСЧЕТНЫЙ БАНКОВСКИЙ ЦЕНТР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115035, г. Москва, набережная Овчинниковская, д. 22/24 стр. 1;Перунов Сергей Владимирович;07.07.2008;10,5;30.12.2015;Недействующая;044552422;Москва;Общества с ограниченной ответственностью;Частная собственность;108 500 000;Ликвидировано по решению суда от 30.12.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 18.08.2014;135 377 000;125 634 000;141 698 000;147 288 000;159 233 000;146 700 000;143 763 000;158 846 000;181 286 000;278 529 000;199 576 000;394 116 000;20 793 000;15 122 000;34 955 000;37 878 000;47 806 000;24 907 000;31 727 000;47 467 000;69 909 000;166 973 000;100 750 000;295 176 000;4 140 000;468 000;20 322 000;22 857 000;24 780 000;34 765 000;24 846 000;24 047 000;24 063 000;24 207 000;24 179 000;24 320 000;0;0;0;0;0;0;0;0;0;0;0;0;109 000 000;109 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;73 000 000;73 000 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109 000 000;109 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;86 000 000;73 000 000;73 000 000;767 000;755 000;45 000;43 000;41 000;39 000;298 000;437 000;436 000;454 000;444 000;434 000;0;0;0;0;0;0;0;0;0;0;0;0
7;НРК, ООО;3386;"НЕБАНКОВСКАЯ КРЕДИТНАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНАЯ РАСЧЕТНАЯ КОМПАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";119313, г. Москва, проспект Ленинский, д. 89/2;Волков Виталий Александрович;05.11.2001;17,0;27.10.2015;Недействующая;044579980;Москва;Общества с ограниченной ответственностью;Частная собственность;7 000 000;Ликвидировано по решению суда от 27.10.2015;148 555 000;128 683 000;55 823 000;157 326 000;77 369 000;142 847 000;157 983 000;137 092 000;151 243 000;29 412 000;13 096 000;;146 098 000;126 167 000;53 232 000;154 877 000;74 985 000;140 569 000;155 151 000;134 298 000;148 370 000;26 521 000;10 051 000;0;345 000;349 000;338 000;329 000;345 000;329 000;348 000;326 000;319 000;318 000;315 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 000;4 000;3 000;2 000;2 000;2 000;5 000;5 000;12 000;246 000;202 000;0;0;0;0;0;0;0;0;0;0;0;0;0
8;ЕВРОСОЮЗ (ООО), КБ;3411;"КОММЕРЧЕСКИЙ БАНК ""ЕВРОСОЮЗ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115054, г. Москва, ул. Зацепа, д. 27;Хамчич Максим Александрович;28.05.2002;16,5;08.08.2016;Недействующая;044579418;Москва;Общества с ограниченной ответственностью;Частная собственность;82 000 000;Ликвидировано вследствие банкротства от 08.08.2016, Отозвана Генеральная лицензия на осуществление банковских операций от 26.08.2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ТРОЙКА (ОАО), АКБ;2051;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ТРОЙКА""";107031, г. Москва, пер. Звонарский, д. 1 корп. 1;Баклицкий Денис Николаевич;09.09.1992;26,5;03.09.2015;Недействующая;044585239;Москва;Публичные акционерные общества;Частная собственность;31 900 000;Ликвидировано вследствие банкротства от 03.09.2015, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 21.10.2010, Решение о признании должника банкротом и открытии конкурсного производства от 23.12.2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;СУРГУТСКИЙ ЦЕНТРАЛЬНЫЙ, ООО КБ;684;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СУРГУТСКИЙ ЦЕНТРАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК""";628400, Ханты-Мансийский Автономный Округ - Югра окр., г. Сургут, ул. Энгельса, д. 12;Красников Владимир Михайлович;01.11.1990;28,0;27.12.2016;Недействующая;047144860;Тюменская область;Общества с ограниченной ответственностью;Частная собственность;126 547 500;Ликвидировано от 27.12.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 11.02.2015;750 635 000;727 385 000;680 686 000;688 452 000;703 894 000;679 590 000;713 550 000;732 570 000;732 854 000;757 178 000;777 394 000;709 323 000;57 259 000;29 236 000;46 519 000;51 426 000;67 984 000;30 508 000;48 440 000;48 573 000;32 963 000;53 638 000;41 236 000;27 400 000;9 384 000;53 612 000;15 717 000;14 077 000;13 836 000;8 444 000;17 399 000;7 164 000;15 670 000;22 078 000;43 979 000;20 020 000;0;0;0;0;0;0;90 586 000;186 284 000;187 857 000;227 564 000;229 317 000;231 069 000;610 254 000;560 595 000;539 502 000;540 549 000;524 124 000;555 218 000;476 991 000;395 807 000;416 229 000;380 922 000;392 275 000;359 210 000;63 304 000;64 288 000;63 593 000;63 292 000;66 340 000;67 523 000;18 237 000;16 754 000;17 030 000;13 254 000;13 571 000;12 094 000;26 950 000;26 307 000;25 909 000;27 257 000;27 784 000;27 695 000;28 754 000;29 053 000;29 199 000;27 668 000;28 704 000;27 116 000;520 000 000;470 000 000;450 000 000;450 000 000;430 000 000;460 000 000;430 000 000;350 000 000;370 000 000;340 000 000;350 000 000;320 000 000;40 741 000;40 501 000;40 237 000;40 282 000;40 142 000;39 869 000;39 555 000;39 232 000;38 753 000;38 500 000;38 307 000;38 084 000;0;0;0;0;0;0;90 586 000;186 284 000;187 857 000;227 564 000;229 317 000;231 069 000
