Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Банковский идентификационный номер;2013 - 2мес., Прибыль (убыток) до налогообложения, RUB;2013 - 3мес., Прибыль (убыток) до налогообложения, RUB;2013 - 4мес., Прибыль (убыток) до налогообложения, RUB;2013 - 5мес., Прибыль (убыток) до налогообложения, RUB;2013 - 6мес., Прибыль (убыток) до налогообложения, RUB;2013 - 7мес., Прибыль (убыток) до налогообложения, RUB;2013 - 8мес., Прибыль (убыток) до налогообложения, RUB;2013 - 9мес., Прибыль (убыток) до налогообложения, RUB;2013 - 10мес., Прибыль (убыток) до налогообложения, RUB;2013 - 11мес., Прибыль (убыток) до налогообложения, RUB;2013 - 12мес., Прибыль (убыток) до налогообложения, RUB;2014 - 1мес., Прибыль (убыток) до налогообложения, RUB;2013 - 2мес., Коррсчета (ЛОРО), RUB;2013 - 3мес., Коррсчета (ЛОРО), RUB;2013 - 4мес., Коррсчета (ЛОРО), RUB;2013 - 5мес., Коррсчета (ЛОРО), RUB;2013 - 6мес., Коррсчета (ЛОРО), RUB;2013 - 7мес., Коррсчета (ЛОРО), RUB;2013 - 8мес., Коррсчета (ЛОРО), RUB;2013 - 9мес., Коррсчета (ЛОРО), RUB;2013 - 10мес., Коррсчета (ЛОРО), RUB;2013 - 11мес., Коррсчета (ЛОРО), RUB;2013 - 12мес., Коррсчета (ЛОРО), RUB;2014 - 1мес., Коррсчета (ЛОРО), RUB;2013 - 2мес., Кредиты других банков (МБК), RUB;2013 - 3мес., Кредиты других банков (МБК), RUB;2013 - 4мес., Кредиты других банков (МБК), RUB;2013 - 5мес., Кредиты других банков (МБК), RUB;2013 - 6мес., Кредиты других банков (МБК), RUB;2013 - 7мес., Кредиты других банков (МБК), RUB;2013 - 8мес., Кредиты других банков (МБК), RUB;2013 - 9мес., Кредиты других банков (МБК), RUB;2013 - 10мес., Кредиты других банков (МБК), RUB;2013 - 11мес., Кредиты других банков (МБК), RUB;2013 - 12мес., Кредиты других банков (МБК), RUB;2014 - 1мес., Кредиты других банков (МБК), RUB;2013 - 2мес., Средства клиентов, RUB;2013 - 3мес., Средства клиентов, RUB;2013 - 4мес., Средства клиентов, RUB;2013 - 5мес., Средства клиентов, RUB;2013 - 6мес., Средства клиентов, RUB;2013 - 7мес., Средства клиентов, RUB;2013 - 8мес., Средства клиентов, RUB;2013 - 9мес., Средства клиентов, RUB;2013 - 10мес., Средства клиентов, RUB;2013 - 11мес., Средства клиентов, RUB;2013 - 12мес., Средства клиентов, RUB;2014 - 1мес., Средства клиентов, RUB;2013 - 2мес., Средства организаций на расчетных счетах, RUB;2013 - 3мес., Средства организаций на расчетных счетах, RUB;2013 - 4мес., Средства организаций на расчетных счетах, RUB;2013 - 5мес., Средства организаций на расчетных счетах, RUB;2013 - 6мес., Средства организаций на расчетных счетах, RUB;2013 - 7мес., Средства организаций на расчетных счетах, RUB;2013 - 8мес., Средства организаций на расчетных счетах, RUB;2013 - 9мес., Средства организаций на расчетных счетах, RUB;2013 - 10мес., Средства организаций на расчетных счетах, RUB;2013 - 11мес., Средства организаций на расчетных счетах, RUB;2013 - 12мес., Средства организаций на расчетных счетах, RUB;2014 - 1мес., Средства организаций на расчетных счетах, RUB;2013 - 2мес., Депозиты юридических лиц, RUB;2013 - 3мес., Депозиты юридических лиц, RUB;2013 - 4мес., Депозиты юридических лиц, RUB;2013 - 5мес., Депозиты юридических лиц, RUB;2013 - 6мес., Депозиты юридических лиц, RUB;2013 - 7мес., Депозиты юридических лиц, RUB;2013 - 8мес., Депозиты юридических лиц, RUB;2013 - 9мес., Депозиты юридических лиц, RUB;2013 - 10мес., Депозиты юридических лиц, RUB;2013 - 11мес., Депозиты юридических лиц, RUB;2013 - 12мес., Депозиты юридических лиц, RUB;2014 - 1мес., Депозиты юридических лиц, RUB;2013 - 2мес., Вклады физических лиц, RUB;2013 - 3мес., Вклады физических лиц, RUB;2013 - 4мес., Вклады физических лиц, RUB;2013 - 5мес., Вклады физических лиц, RUB;2013 - 6мес., Вклады физических лиц, RUB;2013 - 7мес., Вклады физических лиц, RUB;2013 - 8мес., Вклады физических лиц, RUB;2013 - 9мес., Вклады физических лиц, RUB;2013 - 10мес., Вклады физических лиц, RUB;2013 - 11мес., Вклады физических лиц, RUB;2013 - 12мес., Вклады физических лиц, RUB;2014 - 1мес., Вклады физических лиц, RUB;2013 - 2мес., Облигации, RUB;2013 - 3мес., Облигации, RUB;2013 - 4мес., Облигации, RUB;2013 - 5мес., Облигации, RUB;2013 - 6мес., Облигации, RUB;2013 - 7мес., Облигации, RUB;2013 - 8мес., Облигации, RUB;2013 - 9мес., Облигации, RUB;2013 - 10мес., Облигации, RUB;2013 - 11мес., Облигации, RUB;2013 - 12мес., Облигации, RUB;2014 - 1мес., Облигации, RUB;2013 - 2мес., Векселя, RUB;2013 - 3мес., Векселя, RUB;2013 - 4мес., Векселя, RUB;2013 - 5мес., Векселя, RUB;2013 - 6мес., Векселя, RUB;2013 - 7мес., Векселя, RUB;2013 - 8мес., Векселя, RUB;2013 - 9мес., Векселя, RUB;2013 - 10мес., Векселя, RUB;2013 - 11мес., Векселя, RUB;2013 - 12мес., Векселя, RUB;2014 - 1мес., Векселя, RUB;2013 - 2мес., Резервы на возможные потери, RUB;2013 - 3мес., Резервы на возможные потери, RUB;2013 - 4мес., Резервы на возможные потери, RUB;2013 - 5мес., Резервы на возможные потери, RUB;2013 - 6мес., Резервы на возможные потери, RUB;2013 - 7мес., Резервы на возможные потери, RUB;2013 - 8мес., Резервы на возможные потери, RUB;2013 - 9мес., Резервы на возможные потери, RUB;2013 - 10мес., Резервы на возможные потери, RUB;2013 - 11мес., Резервы на возможные потери, RUB;2013 - 12мес., Резервы на возможные потери, RUB;2014 - 1мес., Резервы на возможные потери, RUB;2013 - 2мес., Капитал, RUB;2013 - 3мес., Капитал, RUB;2013 - 4мес., Капитал, RUB;2013 - 5мес., Капитал, RUB;2013 - 6мес., Капитал, RUB;2013 - 7мес., Капитал, RUB;2013 - 8мес., Капитал, RUB;2013 - 9мес., Капитал, RUB;2013 - 10мес., Капитал, RUB;2013 - 11мес., Капитал, RUB;2013 - 12мес., Капитал, RUB;2014 - 1мес., Капитал, RUB;2013 - 2мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 3мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 4мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 5мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 6мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 7мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 8мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 9мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 10мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 11мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 12мес., Коэффициент покрытия Кредитного портфеля, %;2014 - 1мес., Коэффициент покрытия Кредитного портфеля, %;2013 - 2мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 3мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 4мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 5мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 6мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 7мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 8мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 9мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 10мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 11мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 12мес., Коэффициент обеспечения Кредитного портфеля, %;2014 - 1мес., Коэффициент обеспечения Кредитного портфеля, %;2013 - 2мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 3мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 4мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 5мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 6мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 7мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 8мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 9мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 10мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 11мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 12мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2014 - 1мес., Коэффициент просроченной задолженности в Кредитном портфеле, %;2013 - 2мес., Рентабельность активов-нетто (ROA), %;2013 - 3мес., Рентабельность активов-нетто (ROA), %;2013 - 4мес., Рентабельность активов-нетто (ROA), %;2013 - 5мес., Рентабельность активов-нетто (ROA), %;2013 - 6мес., Рентабельность активов-нетто (ROA), %;2013 - 7мес., Рентабельность активов-нетто (ROA), %;2013 - 8мес., Рентабельность активов-нетто (ROA), %;2013 - 9мес., Рентабельность активов-нетто (ROA), %;2013 - 10мес., Рентабельность активов-нетто (ROA), %;2013 - 11мес., Рентабельность активов-нетто (ROA), %;2013 - 12мес., Рентабельность активов-нетто (ROA), %;2014 - 1мес., Рентабельность активов-нетто (ROA), %;2013 - 2мес., Рентабельность собственного капитала (ROE), %;2013 - 3мес., Рентабельность собственного капитала (ROE), %;2013 - 4мес., Рентабельность собственного капитала (ROE), %;2013 - 5мес., Рентабельность собственного капитала (ROE), %;2013 - 6мес., Рентабельность собственного капитала (ROE), %;2013 - 7мес., Рентабельность собственного капитала (ROE), %;2013 - 8мес., Рентабельность собственного капитала (ROE), %;2013 - 9мес., Рентабельность собственного капитала (ROE), %;2013 - 10мес., Рентабельность собственного капитала (ROE), %;2013 - 11мес., Рентабельность собственного капитала (ROE), %;2013 - 12мес., Рентабельность собственного капитала (ROE), %;2014 - 1мес., Рентабельность собственного капитала (ROE), %
1;СИБКОНТАКТ, ОАО КБ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;МОСКОВСКИЙ КАПИТАЛ (ООО), КБ;044545150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;РАДИАН (ОАО), АКБ;042520827;6 978 000;10 483 000;14 631 000;21 166 000;24 731 000;28 921 000;32 951 000;36 879 000;40 026 000;41 290 000;42 740 000;2 341 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20 000 000;0;1 041 143 000;903 285 000;971 518 000;964 326 000;1 129 558 000;1 177 450 000;1 160 013 000;1 257 773 000;1 119 333 000;1 009 661 000;726 158 000;705 620 000;566 454 000;377 486 000;445 945 000;442 254 000;503 910 000;567 387 000;543 458 000;641 540 000;527 966 000;487 190 000;338 089 000;318 608 000;500 000;500 000;500 000;500 000;200 000;200 000;200 000;200 000;35 200 000;200 000;0;300 000;457 363 000;507 769 000;509 520 000;508 590 000;606 702 000;595 803 000;593 130 000;595 368 000;543 485 000;502 012 000;387 850 000;386 446 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26 600 000;21 600 000;59 964 000;60 206 000;59 439 000;52 919 000;53 723 000;55 370 000;59 267 000;61 420 000;61 796 000;64 109 000;61 465 000;59 949 000;253 870 000;256 828 000;256 780 000;248 567 000;250 749 000;257 578 000;261 279 000;263 683 000;295 823 000;296 606 000;297 556 000;300 907 000;6,75%;5,88%;5,84%;5,00%;4,74%;4,90%;5,08%;6,07%;5,22%;5,58%;5,72%;5,82%;163,25%;152,00%;153,36%;146,94%;146,48%;138,62%;148,40%;163,80%;169,34%;173,21%;192,45%;192,20%;0,75%;0,71%;0,65%;0,65%;0,53%;0,49%;0,51%;0,52%;0,44%;0,43%;0,50%;0,53%;;;;;;;;;;;;;;;;;;;;;;;;
4;БИНБАНК СТОЛИЦА, АО;044525669;7 803 000;13 784 000;23 874 000;33 429 000;42 187 000;60 913 000;66 609 000;72 000 000;77 687 000;76 608 000;54 082 000;-8 809 000;116 000;21 000;0;59 000;249 000;87 000;98 000;207 000;1 469 000;381 000;167 000;295 000;0;0;0;0;0;0;0;0;0;0;500 000 000;500 000 000;18 722 000;242 256 000;552 839 000;841 917 000;1 127 777 000;1 503 764 000;1 914 783 000;2 836 508 000;2 940 324 000;3 144 673 000;3 266 407 000;3 493 303 000;173 000;181 000;181 000;182 000;330 000;362 000;956 000;282 556 000;303 193 000;134 075 000;235 844 000;197 688 000;0;218 000 000;501 500 000;787 500 000;1 083 500 000;1 439 500 000;1 827 500 000;2 452 500 000;2 452 500 000;2 780 000 000;2 754 000 000;3 020 000 000;18 549 000;24 075 000;51 158 000;54 235 000;43 947 000;63 902 000;86 327 000;101 452 000;184 631 000;230 598 000;276 563 000;275 615 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16 389 000;20 144 000;25 179 000;34 976 000;47 409 000;61 921 000;79 402 000;104 247 000;135 786 000;174 785 000;217 203 000;273 099 000;1 374 019 000;1 374 491 000;1 375 729 000;1 380 250 000;1 374 790 000;1 384 783 000;1 382 987 000;1 385 645 000;1 370 929 000;1 369 903 000;1 345 071 000;1 327 618 000;1,22%;1,25%;1,30%;1,55%;1,85%;2,07%;2,33%;2,72%;3,11%;3,66%;4,01%;4,79%;132,62%;132,14%;129,79%;125,45%;120,69%;114,91%;109,03%;106,69%;104,84%;102,95%;102,64%;103,29%;0,16%;0,17%;0,15%;0,16%;0,24%;0,20%;0,23%;0,28%;0,32%;0,42%;0,51%;0,60%;;;;;;;;;;;;;;;;;;;;;;;;
5;ЗЕЛЕНОКУМСКАЯ АО, НКО;040717713;-828 000;-1 817 000;-2 452 000;-7 863 000;-6 893 000;-6 437 000;-10 209 000;-10 083 000;-9 844 000;-9 804 000;-9 167 000;-3 614 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143 000;143 000;143 000;142 000;138 000;138 000;138 000;136 000;136 000;135 000;135 000;135 000;142 000;142 000;142 000;141 000;137 000;137 000;137 000;135 000;135 000;134 000;134 000;134 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 832 000;10 023 000;11 579 000;17 573 000;17 098 000;17 163 000;21 712 000;21 983 000;21 941 000;22 848 000;22 442 000;25 897 000;110 013 000;106 695 000;102 644 000;97 228 000;98 202 000;98 581 000;94 791 000;95 007 000;95 247 000;95 291 000;95 930 000;92 302 000;6,40%;12,92%;10,88%;17,16%;16,46%;17,78%;19,64%;20,08%;21,17%;23,42%;26,49%;31,66%;161,18%;157,84%;145,58%;150,75%;158,31%;166,32%;153,74%;163,72%;167,18%;165,99%;174,78%;171,19%;4,72%;9,02%;9,15%;14,53%;14,50%;19,07%;19,68%;23,01%;24,34%;24,82%;28,66%;30,30%;;;;;;;;;;;;;;;;;;;;;;;;
6;РБЦ (ООО), РНКО;044552422;322 000;607 000;1 370 000;1 649 000;2 200 000;2 710 000;3 235 000;3 247 000;3 559 000;4 717 000;4 307 000;2 236 000;0;1 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18 339 000;8 661 000;24 103 000;29 417 000;40 624 000;27 312 000;24 278 000;38 698 000;60 769 000;157 127 000;76 022 000;268 331 000;18 339 000;8 661 000;24 103 000;29 417 000;40 624 000;27 312 000;24 278 000;38 698 000;60 769 000;157 127 000;76 022 000;268 331 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 000;7 000;11 000;9 000;15 000;227 000;12 000;472 000;486 000;446 000;3 008 000;3 011 000;116 276 000;116 552 000;117 265 000;117 359 000;117 905 000;118 316 000;118 730 000;118 563 000;118 893 000;119 994 000;119 268 000;121 601 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;НРК, ООО;044579980;-5 000;392 000;1 517 000;1 620 000;1 212 000;1 333 000;1 318 000;1 618 000;1 743 000;1 761 000;710 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135 842 000;115 703 000;41 740 000;143 342 000;63 628 000;128 976 000;144 064 000;122 625 000;136 615 000;15 291 000;162 000;0;135 842 000;115 703 000;41 740 000;143 342 000;63 628 000;128 976 000;144 064 000;122 625 000;136 615 000;15 291 000;162 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21 000;19 000;16 000;15 000;15 000;1 000;238 000;238 000;238 000;0;0;0;10 526 000;10 849 000;11 808 000;11 951 000;11 685 000;11 844 000;11 665 000;11 960 000;12 122 000;12 203 000;11 379 000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ЕВРОСОЮЗ (ООО), КБ;044579418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ТРОЙКА (ОАО), АКБ;044585239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;СУРГУТСКИЙ ЦЕНТРАЛЬНЫЙ, ООО КБ;047144860;513 000;40 000;2 425 000;1 859 000;1 277 000;2 386 000;2 972 000;3 519 000;4 311 000;5 282 000;6 557 000;1 000 000;0;0;0;0;0;0;0;0;0;0;0;0;0;20 000 000;0;0;0;0;0;0;0;0;0;0;514 735 000;467 477 000;448 868 000;456 345 000;464 385 000;446 052 000;477 601 000;496 481 000;497 087 000;521 594 000;541 412 000;473 379 000;366 564 000;346 367 000;328 917 000;341 230 000;343 157 000;319 594 000;347 493 000;374 075 000;373 876 000;354 532 000;382 267 000;330 179 000;21 742 000;0;0;0;0;0;0;1 934 000;6 408 000;54 138 000;57 061 000;59 397 000;125 421 000;119 671 000;119 060 000;114 263 000;117 624 000;123 526 000;129 078 000;118 949 000;116 538 000;112 373 000;101 738 000;83 165 000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 358 000;10 549 000;7 227 000;7 766 000;7 784 000;7 303 000;7 223 000;7 092 000;7 035 000;6 589 000;6 380 000;6 288 000;215 519 000;213 287 000;216 362 000;216 010 000;215 542 000;216 551 000;218 053 000;205 005 000;205 571 000;206 855 000;222 659 000;222 675 000;8,47%;9,66%;6,13%;6,60%;6,36%;5,75%;11,44%;11,55%;11,39%;12,80%;12,04%;12,75%;175,38%;173,91%;176,27%;175,64%;180,52%;185,50%;389,61%;404,03%;402,84%;262,75%;218,47%;226,25%;5,03%;5,45%;5,48%;5,42%;5,23%;5,19%;10,64%;10,60%;10,41%;12,01%;11,34%;12,37%;;;;;;;;;;;;;;;;;;;;;;;;
